date,open,high,low,close,volume,amount,pctChg
2026-01-05,0.38,0.394,0.379,0.392,2164529362,841474505.0,3.7037
2026-01-06,0.393,0.397,0.391,0.396,1647843350,649699689.0,1.0204
2026-01-07,0.396,0.401,0.395,0.397,1242617000,495358757.0,0.2525
2026-01-08,0.399,0.401,0.397,0.399,1201134208,479175848.0,0.5038
2026-01-09,0.399,0.403,0.398,0.403,1224095901,491049894.0,1.0025
2026-01-12,0.404,0.407,0.401,0.404,1527338368,616766810.0,0.2481
2026-01-13,0.407,0.418,0.407,0.41,2631468806,1085664765.0,1.4851
2026-01-14,0.411,0.418,0.403,0.407,2142466057,881582342.0,-0.7317
2026-01-15,0.406,0.41,0.403,0.404,1286900512,521727959.0,-0.7371
2026-01-16,0.404,0.406,0.398,0.399,1343668009,539113686.0,-1.2376
2026-01-19,0.398,0.4,0.394,0.396,1372361870,543908048.0,-0.7519
2026-01-20,0.396,0.397,0.391,0.393,1244221258,488804198.0,-0.7576
2026-01-21,0.392,0.395,0.389,0.39,1222079597,478326376.0,-0.7634
2026-01-22,0.391,0.392,0.386,0.388,1362810946,528929825.0,-0.5128
2026-01-23,0.388,0.391,0.386,0.388,1872342341,727230686.0,0.0
2026-01-26,0.388,0.39,0.383,0.387,2054601569,793752802.0,-0.2577
2026-01-27,0.388,0.388,0.38,0.381,2167705833,829777708.0,-1.5504
2026-01-28,0.382,0.383,0.376,0.378,2280260369,862617317.0,-0.7874
2026-01-29,0.376,0.386,0.374,0.386,2396395838,912007485.0,2.1164
2026-01-30,0.384,0.388,0.379,0.38,1819596249,696062883.0,-1.5544
2026-02-02,0.378,0.381,0.371,0.372,1841039242,690799720.0,-2.1053
2026-02-03,0.373,0.377,0.371,0.377,1145514344,428471049.0,1.3441
2026-02-04,0.375,0.382,0.373,0.38,1470800000,553609011.0,0.7958
2026-02-05,0.38,0.386,0.379,0.384,1956298693,750335166.0,1.0526
2026-02-06,0.383,0.386,0.381,0.383,1058062500,406310447.0,-0.2604
2026-02-09,0.385,0.385,0.382,0.383,945754580,362251849.0,0.0
2026-02-10,0.383,0.39,0.382,0.388,1445059666,558999177.0,1.3055
2026-02-11,0.387,0.39,0.387,0.388,875404005,339980287.0,0.0
2026-02-12,0.388,0.392,0.387,0.387,928443591,361284396.0,-0.2577
2026-02-13,0.387,0.388,0.382,0.382,964009840,370305022.0,-1.292
2026-02-24,0.385,0.386,0.381,0.381,1010058400,386100886.0,-0.2618
2026-02-25,0.381,0.384,0.38,0.382,734553100,280478603.0,0.2625
2026-02-26,0.384,0.385,0.378,0.38,1067469200,406536668.0,-0.5236
2026-02-27,0.379,0.381,0.377,0.379,598056899,226802462.0,-0.2632
2026-03-02,0.375,0.378,0.37,0.371,1659817316,618581956.0,-2.1108
2026-03-03,0.372,0.375,0.365,0.366,1785286360,659579988.0,-1.3477
2026-03-04,0.364,0.366,0.358,0.361,1468444600,530903594.0,-1.3661
2026-03-05,0.364,0.367,0.361,0.363,1053237600,382637935.0,0.554
2026-03-06,0.362,0.372,0.361,0.372,1159945301,427593522.0,2.4793
2026-03-09,0.368,0.369,0.363,0.367,1149203400,420840628.0,-1.3441
2026-03-10,0.368,0.375,0.368,0.374,1169599079,435972443.0,1.9074
2026-03-11,0.374,0.375,0.371,0.373,770805911,287512601.0,-0.2674
2026-03-12,0.373,0.375,0.369,0.371,827892900,307508637.0,-0.5362
2026-03-13,0.369,0.371,0.367,0.368,945431000,348656339.0,-0.8086
2026-03-16,0.368,0.372,0.365,0.369,937665207,345588849.0,0.2717
2026-03-17,0.37,0.377,0.368,0.371,1567066928,584394174.0,0.542
2026-03-18,0.37,0.372,0.367,0.37,990818700,365567313.0,-0.2695
2026-03-19,0.368,0.37,0.364,0.365,1211413106,443616777.0,-1.3514
2026-03-20,0.365,0.369,0.36,0.362,1111490445,404761875.0,-0.8219
2026-03-23,0.358,0.358,0.346,0.348,2548146110,896642033.0,-3.8674
2026-03-24,0.352,0.357,0.351,0.357,1355905340,479613287.0,2.5862
2026-03-25,0.358,0.36,0.356,0.359,761860810,272790487.0,0.5602
2026-03-26,0.358,0.362,0.351,0.353,1099714751,391265755.0,-1.6713
2026-03-27,0.35,0.365,0.349,0.365,1992818789,716845284.0,3.3994
2026-03-30,0.361,0.367,0.36,0.365,1045528819,380535178.0,0.0
2026-03-31,0.366,0.373,0.364,0.364,1337563060,491974704.0,-0.274
2026-04-01,0.368,0.377,0.364,0.377,2126418202,793257170.0,3.5714
2026-04-02,0.376,0.378,0.373,0.374,1458995443,547837867.0,-0.7958
2026-04-03,0.372,0.373,0.366,0.368,1125022922,414886196.0,-1.6043
2026-04-07,0.369,0.373,0.363,0.369,1026793524,377796090.0,0.2717
2026-04-08,0.373,0.375,0.368,0.375,1184525393,441012109.0,1.626
2026-04-09,0.373,0.378,0.372,0.373,912876469,341658682.0,-0.5333
2026-04-10,0.373,0.378,0.371,0.373,1069289603,400676403.0,0.0
2026-04-13,0.371,0.373,0.369,0.371,803172671,297487138.0,-0.5362
2026-04-14,0.372,0.375,0.368,0.375,964840210,357335060.0,1.0782
2026-04-15,0.378,0.38,0.373,0.377,1340203650,504423497.0,0.5333
2026-04-16,0.377,0.379,0.374,0.377,837240400,315006142.0,0.0
2026-04-17,0.375,0.375,0.365,0.366,1775697984,653784563.0,-2.9178
