date,open,high,low,close,volume,amount
2026-08-24,1.025,1.034,1.025,1.033,294828200.0,303925800.0
2026-08-25,1.032,1.035,1.029,1.035,205247500.0,212079500.0
2026-08-26,1.033,1.049,1.031,1.048,415710100.0,433636700.0
2026-08-27,1.044,1.045,1.035,1.044,278993100.0,290172700.0
2026-08-28,1.04,1.043,1.036,1.041,283057400.0,294324000.0
2026-08-31,1.039,1.039,1.029,1.035,296678700.0,306377000.0
2026-09-01,1.035,1.049,1.033,1.049,429082900.0,448492500.0
2026-09-02,1.047,1.049,1.04,1.045,290641800.0,303582600.0
2026-09-03,1.044,1.054,1.043,1.047,348925200.0,366465199.99999994
2026-09-04,1.047,1.053,1.041,1.044,367367200.0,384774000.0
2026-09-07,1.047,1.047,1.033,1.035,303593800.0,314802800.0
2026-09-08,1.035,1.044,1.034,1.043,268516000.0,279022900.0
2026-09-09,1.043,1.054,1.037,1.054,370334800.0,388221900.0
2026-09-10,1.052,1.062,1.046,1.062,371818400.0,392747800.0
2026-09-11,1.057,1.06,1.042,1.054,384357700.0,404343600.0
2026-09-14,1.051,1.068,1.049,1.057,374395300.0,396803200.0
2026-09-15,1.055,1.061,1.044,1.054,385667200.0,406088300.0
2026-09-16,1.05,1.058,1.045,1.053,303386400.0,318873100.0
2026-09-17,1.049,1.05,1.033,1.037,323221500.0,335491300.0
2026-09-18,1.036,1.047,1.034,1.04,300185300.0,312772300.0
2026-09-21,1.04,1.042,1.034,1.039,195406300.0,202711900.0
