date,open,high,low,close,volume
2026-02-25,12.09,12.33,11.98,12.28,31680400
2026-02-26,12.2,12.6,12.17,12.57,41819990
2026-02-27,12.41,12.55,12.31,12.55,29196154
2026-03-02,12.28,12.53,12.15,12.27,26309129
2026-03-03,12.32,12.38,11.48,11.5,31725869
2026-03-04,11.3,11.75,11.25,11.49,20561406
2026-03-05,11.75,12.38,11.75,12.07,39347579
2026-03-06,11.94,12.2,11.78,12.05,24260035
2026-03-09,11.81,11.85,11.25,11.68,33961373
2026-03-10,11.81,12.3,11.79,12.29,40788998
2026-03-11,12.3,12.59,12.23,12.55,46693211
2026-03-12,12.41,12.58,12.16,12.34,32102267
2026-03-13,12.18,12.44,12.15,12.23,25288699
2026-03-16,12.17,12.57,12.03,12.57,42097689
2026-03-17,12.48,12.56,11.98,11.99,35488941
2026-03-18,12.01,12.43,12.01,12.42,37424811
2026-03-19,12.21,12.33,11.96,12.04,25943340
2026-03-20,12.18,12.88,12.08,12.28,70341955
2026-03-23,11.74,12.17,11.26,11.41,56886689
2026-03-24,11.64,11.97,11.07,11.92,50717907
2026-03-25,12.17,12.33,12.01,12.09,33294380
2026-03-26,12.0,12.2,11.71,11.76,25579116
2026-03-27,11.5,11.83,11.08,11.66,34724238
2026-03-30,11.45,11.75,11.08,11.73,31623373
2026-03-31,11.69,11.78,11.11,11.17,37901394
2026-04-01,11.44,12.29,11.42,12.29,45641921
2026-04-02,12.32,12.4,12.1,12.17,70166602
2026-04-03,12.25,12.4,12.06,12.35,69815029
2026-04-07,12.38,12.75,12.31,12.63,79059100
2026-04-08,12.7,13.1,12.53,13.05,104900771
2026-04-09,12.6,12.84,12.55,12.73,64365202
2026-04-10,12.85,13.08,12.65,12.65,63475784
2026-04-13,12.51,12.76,12.45,12.73,48265777
2026-04-14,12.84,13.1,12.72,13.03,67385934
2026-04-15,13.03,13.03,12.64,12.71,54354200
2026-04-16,12.79,12.85,12.51,12.83,37822513
2026-04-17,12.8,13.23,12.7,13.16,74440630
2026-04-20,13.25,13.41,13.1,13.25,69407960
2026-04-21,13.11,13.35,13.02,13.19,49400955
