date,open,high,low,close,volume,amount
2026-08-24,0.888,0.892,0.845,0.85,1684141700.0,1448728900.0000002
2026-08-25,0.844,0.87,0.842,0.868,1212441000.0,1040193300.0
2026-08-26,0.868,0.883,0.865,0.868,946109200.0,826632200.0
2026-08-27,0.865,0.875,0.854,0.875,932799300.0,805470000.0
2026-08-28,0.872,0.874,0.86,0.862,715479900.0,619251200.0
2026-08-31,0.854,0.855,0.837,0.848,1121103100.0,947236900.0
2026-09-01,0.847,0.852,0.841,0.849,691267400.0,585079000.0
2026-09-02,0.85,0.853,0.836,0.843,719707200.0,607927700.0
2026-09-03,0.843,0.854,0.839,0.851,762035300.0,644859200.0
2026-09-04,0.851,0.856,0.84,0.845,902385200.0,765910300.0
2026-09-07,0.844,0.845,0.837,0.841,477770800.0,401483900.0
2026-09-08,0.839,0.853,0.834,0.849,857694200.0,723202899.9999999
2026-09-09,0.844,0.845,0.833,0.837,718435900.0,601590900.0
2026-09-10,0.832,0.833,0.818,0.821,969883600.0,797961400.0
2026-09-11,0.816,0.819,0.796,0.803,1086130300.0,872963500.0
2026-09-14,0.801,0.831,0.798,0.83,1010678800.0,828500200.0
2026-09-15,0.826,0.832,0.821,0.822,517370500.0,426622300.00000006
2026-09-16,0.821,0.832,0.817,0.826,553279600.0,456205800.0
2026-09-17,0.822,0.837,0.822,0.83,642578100.0,534577200.0
2026-09-18,0.833,0.849,0.831,0.835,870439200.0,729557400.0
2026-09-21,0.841,0.87,0.839,0.869,1397060800.0,1202890100.0
