date,open,high,low,close,volume,amount
2026-08-07,1.166,1.218,1.166,1.212,817628200.0,979263800.0
2026-08-10,1.213,1.223,1.179,1.205,687488800.0,822189800.0
2026-08-11,1.196,1.218,1.178,1.187,631154200.0,754692100.0000001
2026-08-12,1.195,1.218,1.186,1.209,565775700.0,681413800.0
2026-08-13,1.23,1.243,1.188,1.192,685105900.0,839140100.0
2026-08-14,1.21,1.216,1.181,1.203,517425600.0,620261200.0
2026-08-17,1.205,1.264,1.202,1.263,900701600.0,1117222800.0
2026-08-18,1.265,1.277,1.236,1.264,673669400.0,846788000.0
2026-08-19,1.223,1.227,1.152,1.163,1181389100.0,1403348800.0
2026-08-20,1.174,1.182,1.139,1.151,848877000.0,985080700.0000001
2026-08-21,1.152,1.173,1.145,1.159,530927200.0,614370100.0
2026-08-24,1.158,1.159,1.096,1.117,767575000.0,861738800.0
2026-08-25,1.095,1.131,1.082,1.118,684028800.0,755730500.0
2026-08-26,1.121,1.141,1.103,1.131,538440700.0,605340600.0
2026-08-27,1.14,1.181,1.135,1.181,685114900.0,796527300.0
2026-08-28,1.174,1.19,1.151,1.154,545537900.0,639312900.0
2026-08-31,1.131,1.169,1.125,1.168,512820400.0,586063400.0
2026-09-01,1.167,1.17,1.137,1.14,569425700.0,652696800.0
2026-09-02,1.124,1.134,1.11,1.121,518937000.0,581922700.0
2026-09-03,1.132,1.135,1.104,1.115,440011500.0,492057800.0
2026-09-04,1.124,1.133,1.077,1.086,766454900.0,845798400.0
2026-09-06,1.124,1.133,1.077,1.086,766454900.0,845798421.682
