date,open,high,low,close,volume
2026-02-25,15.7932376,16.15308352,15.03356288,15.75325472,326629910
2026-02-26,15.15351152,15.6433018,14.50378972,15.5933232,264940842
2026-02-27,14.5937512,14.8436442,13.70413212,14.08396948,306422798
2026-03-02,14.00400372,14.5437726,13.81408504,13.87405936,207250693
2026-03-03,14.1439438,14.32386676,12.67457296,12.80451732,194994188
2026-03-04,12.62459436,13.31429904,12.5946072,13.06440604,143332819
2026-03-05,13.3942648,13.47423056,12.80451732,12.95445312,167734758
2026-03-06,12.86449164,12.98444028,12.43467568,12.53463288,140043698
2026-03-09,12.22476556,12.5946072,11.8949068,12.50464572,142386586
2026-03-10,12.6945644,13.30430332,12.6445858,12.98444028,270950516
2026-03-11,13.1943504,13.3942648,12.5446286,12.5946072,181965751
2026-03-12,12.41468424,12.97444456,12.07482976,12.21476984,154501199
2026-03-13,12.12480836,12.3447142,11.744971,12.05483832,155426263
2026-03-16,12.22476556,12.244757,11.5450566,12.13480408,124008417
2026-03-17,12.05483832,12.1447998,11.31515504,11.35513792,114264621
2026-03-18,11.56504804,11.8449282,11.38512508,11.7949496,84810953
2026-03-19,11.51506944,11.67500096,11.21519784,11.28516788,75346649
2026-03-20,11.48508228,11.5450566,10.87534336,10.9453134,77381764
2026-03-23,10.60545892,10.77538616,10.15565152,10.245613,90523865
2026-03-24,10.53548888,10.80537332,10.245613,10.7953776,78774914
2026-03-25,11.43510368,11.88491108,10.98529628,11.11524064,137670158
2026-03-26,11.06526204,11.31515504,10.8453562,10.93531768,71060545
2026-03-27,10.73540328,11.17521496,10.5954632,10.995292,62948003
2026-03-30,10.7953776,11.9448854,10.7953776,11.67500096,176097808
2026-03-31,11.53506088,11.66500524,11.21519784,11.27517216,100572719
2026-04-01,12.37470136,12.7945216,11.67500096,11.82493676,210322657
2026-04-02,11.58503948,11.72497956,11.22519356,11.32515076,113823377
2026-04-03,11.3951208,11.62502236,10.995292,11.05526632,100113924
2026-04-07,11.27517216,11.90490252,11.26517644,11.4450994,131891272
2026-04-08,12.16479124,12.30473132,11.76496244,12.2947356,156897652
2026-04-09,12.08482548,12.77453016,11.98486828,12.51464144,171921478
2026-04-10,12.8445002,13.73411928,12.77453016,12.77453016,249554150
2026-04-13,12.66457724,15.1435158,12.66457724,14.82365276,321820244
2026-04-14,14.0939652,15.27346016,14.0939652,14.85363992,295447941
2026-04-15,14.62373836,15.27346016,14.1939224,14.25389672,203720380
2026-04-16,14.3938368,14.57375976,13.8440722,14.37384536,180401134
