date,open,high,low,close,amount
2026-08-24,4620.95,4621.39,4527.49,4563.13,206616872.0
2026-08-25,4542.24,4573.38,4523.02,4552.03,171510168.0
2026-08-26,4549.43,4612.04,4542.84,4590.79,184578169.0
2026-08-27,4594.48,4631.35,4584.99,4630.28,202017250.0
2026-08-28,4615.84,4643.34,4608.46,4609.18,180989495.0
2026-08-31,4561.99,4625.09,4557.35,4625.09,237447640.0
2026-09-01,4618.73,4640.08,4604.77,4611.44,214869581.0
2026-09-02,4581.51,4583.27,4534.39,4547.96,186991888.0
2026-09-03,4570.91,4585.99,4536.92,4552.58,182244060.0
2026-09-04,4575.32,4602.2,4530.76,4548.05,196997428.0
2026-09-07,4567.89,4580.7,4545.41,4575.02,183218470.0
2026-09-08,4575.99,4587.73,4546.31,4558.74,173566694.0
2026-09-09,4578.51,4581.9,4548.36,4572.6,158004433.0
2026-09-10,4550.19,4569.83,4533.66,4548.39,146922552.0
2026-09-11,4514.3,4520.17,4461.57,4510.16,204230027.0
2026-09-14,4474.95,4504.49,4473.27,4480.08,149488418.0
2026-09-15,4473.81,4496.96,4444.63,4450.04,142718095.0
2026-09-16,4449.88,4483.36,4417.6,4480.27,163494523.0
2026-09-17,4463.62,4495.83,4453.92,4460.16,170025642.0
2026-09-18,4492.32,4523.09,4480.59,4507.39,189924166.0
2026-09-21,4524.34,4540.55,4512.15,4539.57,186361542.0
