date,open,high,low,close,volume,amount
2026-08-07,0.583,0.588,0.579,0.588,3022500.0,1759300.0
2026-08-10,0.589,0.592,0.586,0.592,2869400.0,1690300.0
2026-08-11,0.591,0.599,0.589,0.595,4624600.0,2757400.0
2026-08-12,0.598,0.599,0.593,0.598,3354400.0,2000500.0
2026-08-13,0.598,0.601,0.595,0.595,2271400.0,1359400.0
2026-08-14,0.594,0.603,0.591,0.594,5195200.0,3086000.0
2026-08-17,0.593,0.603,0.593,0.603,2987900.0,1788700.0
2026-08-18,0.603,0.605,0.6,0.603,8964800.0,5391100.0
2026-08-19,0.602,0.602,0.588,0.589,6491600.0,3860200.0
2026-08-20,0.595,0.595,0.583,0.584,4545700.0,2670500.0
2026-08-21,0.584,0.593,0.58,0.589,2525300.0,1486200.0
2026-08-24,0.589,0.593,0.581,0.584,3737300.0,2187700.0
2026-08-25,0.579,0.582,0.577,0.58,4298600.0,2490700.0
2026-08-26,0.58,0.59,0.579,0.586,3034700.0,1780400.0
2026-08-27,0.584,0.592,0.573,0.579,3289600.0,1895400.0
2026-08-28,0.58,0.58,0.575,0.578,4049600.0,2336200.0
2026-08-31,0.578,0.578,0.563,0.569,5305300.0,3008700.0
2026-09-01,0.57,0.57,0.565,0.567,2743200.0,1553400.0
2026-09-02,0.567,0.567,0.556,0.559,7240300.0,4047799.9999999995
2026-09-03,0.56,0.562,0.556,0.559,5840700.0,3261900.0
2026-09-04,0.559,0.563,0.554,0.556,7331600.0,4097200.0000000005
2026-09-06,0.559,0.563,0.554,0.556,7331600.0,4097150.0
