date,code,name,continue_cnt,limit_up_reason,seal_money
2025-07-08,301526,国际复材,1,化工(玻纤)；公司的主营业务是玻璃纤维纱及制品的研发、生产和销售。,178855000.0
2025-08-15,301526,国际复材,1,"电子布+玻纤；1. 电子布：公司生产的电子级玻璃纤维布可应用于覆铜板生产，并作为印制电路板（PCB 板）中的常用板材，是电子工业重要的基础材料，被广泛应用于通讯、计算机、消费电子和汽车电子等领域

2. 玻纤：公司的主营业务是玻璃纤维纱及制品的研发、生产和销售。",115880000.0
2025-08-28,301526,国际复材,1,"电子布+玻纤；1. 电子布：公司生产的电子级玻璃纤维布可应用于覆铜板生产，并作为印制电路板（PCB 板）中的常用板材，是电子工业重要的基础材料，被广泛应用于通讯、计算机、消费电子和汽车电子等领域

2. 玻纤：公司的主营业务是玻璃纤维纱及制品的研发、生产和销售。",5347660.0
2025-12-05,301526,国际复材,1,"电子布+玻纤；1. 电子布：公司生产的电子级玻璃纤维布可应用于覆铜板生产，并作为印制电路板（PCB 板）中的常用板材，是电子工业重要的基础材料，被广泛应用于通讯、计算机、消费电子和汽车电子等领域

2. 玻纤：公司的主营业务是玻璃纤维纱及制品的研发、生产和销售。",58576400.0
2026-02-11,301526,国际复材,1,"玻纤+电子布；2026年2月10日台耀科技发布停产声明：由于中国台湾地区市场变化，特殊产品low Dk玻璃布需求量增加，造成中国台湾地区主要玻璃布厂商相继宣布停产E-glass玻璃布，并转产low Dk玻璃布，台耀将调整E-glass生产计划，2月10日起工厂将减量供应TU-662(668/F)、TU-768(752)及TU-747(742)系列产品，2026年底将停止生产。

1. 玻纤：公司的主营业务是玻璃纤维纱及制品的研发、生产和销售。

2. 电子布：2025年12月29日晚公告，公司于2025年12月29日召开第三届董事会第十一次会议，审议通过《关于建设年产3600万米高频高",183024000.0
2026-02-24,301526,国际复材,2,"玻纤+电子布；2026年2月10日台耀科技发布停产声明：由于中国台湾地区市场变化，特殊产品low Dk玻璃布需求量增加，造成中国台湾地区主要玻璃布厂商相继宣布停产E-glass玻璃布，并转产low Dk玻璃布，台耀将调整E-glass生产计划，2月10日起工厂将减量供应TU-662(668/F)、TU-768(752)及TU-747(742)系列产品，2026年底将停止生产。

1. 玻纤：公司的主营业务是玻璃纤维纱及制品的研发、生产和销售。

2. 电子布：2025年12月29日晚公告，公司于2025年12月29日召开第三届董事会第十一次会议，审议通过《关于建设年产3600万米高频高",325362000.0
2026-06-15,301526,国际复材,1,"电子布+玻纤；1. 电子布：据2026年5月13日投资者关系活动记录表，目前公司正在全力推进年产3600万米高频高速电子纤维布项目建设，努力满足客户对高频高速高端产品的需求。公司电子级玻璃纤维生产线设备更新及数智化提质增效项目于2025年内完成点火。项目投产后，在公司各系统的通力合作下，该产线已达产达标，目前生产正常稳定。公司自主研发的低介电二代玻璃纤维布产品，可充分适应5G-A/6G通信和AI算力服务器对低损耗的需求，且生产全流程自主可控，在供货周期与技术协同方面优势显著，进一步巩固了公司在高端电子电路领域的市场地位与竞争优势。

2. 玻纤：据2026年5月12日互动易，公司长期深耕玻纤及复合材料主业，依托多年积淀的技术研发实力与成熟生产工艺，持续优化高端产品结构，在优势细分领域形成了良好的市场基础与品牌口碑。",63963000.0
2026-07-27,301526,国际复材,1,"电子布+玻纤；1. 电子布：据2026年5月13日投资者关系活动记录表，目前公司正在全力推进年产3600万米高频高速电子纤维布项目建设，努力满足客户对高频高速高端产品的需求。公司电子级玻璃纤维生产线设备更新及数智化提质增效项目于2025年内完成点火。项目投产后，在公司各系统的通力合作下，该产线已达产达标，目前生产正常稳定。公司自主研发的低介电二代玻璃纤维布产品，可充分适应5G-A/6G通信和AI算力服务器对低损耗的需求，且生产全流程自主可控，在供货周期与技术协同方面优势显著，进一步巩固了公司在高端电子电路领域的市场地位与竞争优势。

2. 玻纤：据2026年5月12日互动易，公司长期深耕玻纤及复合材料主业，依托多年积淀的技术研发实力与成熟生产工艺，持续优化高端产品结构，在优势细分领域形成了良好的市场基础与品牌口碑。",282439000.0
