date,open,high,low,close,amount
2022-01-05,1364.01,1365.77,1328.29,1333.33,2054154.51
2022-01-06,1327.7,1331.43,1309.9,1320.94,1755662.33
2022-01-07,1322.89,1331.91,1305.14,1305.49,1783158.03
2022-01-10,1306.6,1323.15,1291.41,1318.27,1782000.75
2022-01-11,1317.92,1317.93,1291.51,1294.4,1695863.44
2022-01-12,1298.62,1317.52,1298.62,1316.35,1743012.61
2022-01-13,1319.19,1319.19,1294.65,1294.65,1700527.89
2022-01-14,1289.38,1316.33,1288.85,1312.29,2215187.46
2022-01-17,1317.39,1341.17,1313.62,1338.32,2199861.14
2022-01-18,1340.41,1362.48,1328.4,1342.36,2273902.95
2022-01-19,1340.71,1343.3,1318.31,1324.09,1662278.99
2022-01-20,1326.64,1329.81,1304.69,1306.02,1702964.26
2022-01-21,1304.16,1308.44,1288.78,1290.41,1869001.92
2022-01-24,1286.14,1311.51,1285.04,1307.74,1819019.37
2022-01-25,1303.93,1311.73,1276.2,1277.0,1907159.0
2022-01-26,1281.51,1289.41,1261.95,1276.36,1630927.84
2022-01-27,1274.63,1280.25,1239.49,1240.55,1753624.14
2022-01-28,1253.94,1255.19,1229.22,1229.22,1551733.15
2022-02-07,1247.58,1263.97,1230.7,1233.62,1421715.29
2022-02-08,1233.66,1233.66,1191.49,1204.05,1563285.91
2022-02-09,1204.24,1212.45,1195.09,1210.29,1499083.35
2022-02-10,1214.98,1215.28,1182.4,1188.2,1812965.3
2022-02-11,1182.87,1188.52,1168.9,1169.59,1687300.11
2022-02-14,1161.84,1179.89,1148.7,1169.44,1338539.77
2022-02-15,1172.77,1204.34,1171.68,1203.12,1647383.86
2022-02-16,1210.42,1211.55,1195.97,1197.56,1181411.06
2022-02-17,1196.6,1217.47,1191.45,1207.82,1434037.65
2022-02-18,1200.34,1206.01,1195.24,1204.37,1331421.38
2022-02-21,1207.15,1212.49,1191.84,1193.6,1456113.52
2022-02-22,1184.84,1186.78,1168.57,1183.98,1633863.46
2022-02-23,1182.42,1233.44,1181.4,1231.08,2322761.3
2022-02-24,1226.95,1240.35,1199.07,1214.99,2433315.93
2022-02-25,1231.54,1253.46,1230.61,1240.88,1975666.71
2022-02-28,1243.98,1249.59,1230.65,1249.59,2156087.79
2022-03-01,1254.57,1259.68,1232.09,1239.02,1762914.41
2022-03-02,1233.1,1233.92,1216.47,1230.28,1490622.14
2022-03-03,1235.96,1237.2,1208.82,1209.82,1726799.64
2022-03-04,1201.12,1228.19,1197.83,1203.09,1758402.39
2022-03-07,1198.01,1198.01,1164.98,1169.98,1901070.08
2022-03-08,1167.59,1179.2,1135.52,1137.08,2414422.32
2022-03-09,1148.18,1156.4,1097.07,1129.65,2753929.06
2022-03-10,1161.99,1168.14,1149.42,1153.36,2465658.5
2022-03-11,1137.61,1162.6,1125.34,1161.21,2621609.79
2022-03-14,1151.97,1154.7,1126.26,1126.28,2247694.57
2022-03-15,1115.19,1142.81,1093.43,1093.43,2836715.67
2022-03-16,1115.84,1128.12,1070.77,1125.48,2888873.85
2022-03-17,1144.98,1163.51,1138.01,1142.71,2996237.24
2022-03-18,1136.98,1144.32,1124.85,1144.32,1961700.1
2022-03-21,1143.55,1160.71,1137.81,1152.33,2082383.77
2022-03-22,1145.08,1149.47,1131.88,1134.32,1839397.77
2022-03-23,1138.73,1150.2,1130.22,1144.09,1634121.99
2022-03-24,1135.85,1141.76,1121.64,1134.57,1574074.25
2022-03-25,1137.8,1140.92,1106.36,1106.86,1602709.55
2022-03-28,1097.87,1101.33,1085.27,1090.73,1450974.72
2022-03-29,1097.36,1099.24,1078.34,1079.93,1398627.53
2022-03-30,1084.76,1112.63,1084.76,1112.52,1618272.87
2022-03-31,1109.55,1109.55,1086.99,1091.06,1606409.49
2022-04-01,1085.31,1095.46,1074.79,1089.19,1448344.46
2022-04-06,1087.76,1087.76,1054.7,1058.49,1881249.46
2022-04-07,1050.43,1059.36,1036.07,1036.07,1678890.9
2022-04-08,1032.84,1039.1,1017.18,1027.24,1650744.55
2022-04-11,1022.91,1022.91,985.59,988.76,1902675.04
2022-04-12,987.45,994.83,970.05,994.44,1651166.61
2022-04-13,989.66,989.66,964.83,964.83,1350494.4
2022-04-14,972.24,982.7,961.54,975.57,1714628.59
2022-04-15,968.91,980.15,955.77,973.36,1541255.24
2022-04-18,969.06,1005.89,964.49,1004.61,1694079.67
2022-04-19,1002.98,1010.58,987.77,989.93,1382969.93
2022-04-20,988.75,992.47,973.05,973.51,1280572.98
2022-04-21,968.48,989.25,954.84,957.72,1685147.53
2022-04-22,953.64,959.73,940.26,942.07,1502890.82
2022-04-25,924.96,924.96,884.3,884.3,2329353.86
2022-04-26,884.18,901.76,865.65,868.07,2092079.91
2022-04-27,857.38,910.07,853.21,906.43,2372278.68
2022-04-28,899.66,908.45,885.25,903.06,2147136.91
2022-04-29,910.14,949.06,902.58,947.15,2418939.0
2022-05-05,944.55,967.25,944.06,956.13,2306439.53
2022-05-06,933.01,960.04,929.82,942.23,1755901.33
2022-05-09,938.39,953.6,937.43,946.72,1603950.69
2022-05-10,935.06,983.68,931.58,972.14,2178714.41
2022-05-11,974.54,1026.49,972.86,1002.46,2754439.02
2022-05-12,999.54,1021.96,996.47,1013.06,2011076.08
2022-05-13,1020.39,1021.37,1002.27,1010.8,1697873.41
2022-05-16,1016.94,1025.6,995.25,996.51,1773900.39
2022-05-17,995.97,1013.95,993.38,1010.37,1886231.18
2022-05-18,1011.53,1023.93,1007.57,1014.0,1734876.19
2022-05-19,1002.66,1036.67,999.4,1036.34,2170723.0
2022-05-20,1045.69,1049.04,1028.95,1045.38,2207609.81
2022-05-23,1044.18,1050.06,1033.79,1046.15,2002307.71
2022-05-24,1045.01,1045.03,996.65,996.65,2587625.0
2022-05-25,996.75,1008.58,991.97,1006.52,1721443.01
2022-05-26,1006.1,1014.85,986.42,1004.26,1689204.32
2022-05-27,1008.06,1015.46,988.21,993.7,1698407.94
2022-05-30,995.96,1007.12,984.28,1001.54,1915873.66
2022-05-31,1004.08,1035.32,991.75,1035.32,3172392.46
2022-06-01,1029.09,1038.7,1024.76,1031.58,2803365.01
2022-06-02,1028.69,1081.92,1023.99,1079.85,4333626.44
2022-06-06,1084.66,1130.76,1081.45,1121.54,4640004.16
2022-06-07,1124.16,1124.52,1104.43,1111.4,3367303.49
2022-06-08,1108.59,1126.46,1091.68,1111.67,2892851.42
2022-06-09,1108.93,1109.73,1073.66,1081.17,2597796.69
2022-06-10,1074.07,1103.15,1072.18,1102.85,4166523.7
2022-06-13,1088.76,1094.79,1080.39,1088.38,3537999.78
2022-06-14,1073.75,1076.82,1039.0,1070.54,3740946.63
2022-06-15,1069.94,1085.88,1061.46,1062.71,3600207.95
2022-06-16,1065.69,1094.7,1065.44,1078.95,3011199.44
2022-06-17,1070.62,1094.27,1066.17,1092.09,3299868.0
