date,open,high,low,close,volume
2026-02-25,7.84,7.87,7.75,7.78,7717500
2026-02-26,7.79,7.79,7.64,7.65,6695868
2026-02-27,7.64,7.7,7.6,7.7,5174325
2026-03-02,7.75,7.75,7.44,7.64,12001900
2026-03-03,7.6,7.72,7.38,7.4,10569599
2026-03-04,7.33,7.46,7.28,7.39,7725234
2026-03-05,7.45,7.52,7.34,7.37,7315900
2026-03-06,7.31,7.53,7.28,7.53,6675220
2026-03-09,7.5,7.52,7.36,7.47,7088025
2026-03-10,7.5,7.6,7.5,7.56,5215307
2026-03-11,7.62,7.62,7.37,7.4,7687600
2026-03-12,7.4,7.4,7.18,7.22,8295792
2026-03-13,7.19,7.29,7.12,7.14,6677600
2026-03-16,7.1,7.2,7.08,7.17,6701900
2026-03-17,7.19,7.24,7.08,7.09,5483000
2026-03-18,7.09,7.22,7.03,7.17,6684100
2026-03-19,7.06,7.24,6.94,6.98,11686003
2026-03-20,6.93,7.02,6.71,6.78,11130158
2026-03-23,6.66,6.71,6.33,6.38,11142850
2026-03-24,6.54,6.68,6.41,6.67,11609201
2026-03-25,6.69,6.84,6.68,6.83,7097014
2026-03-26,6.8,6.88,6.68,6.71,5495410
2026-03-27,6.65,6.87,6.62,6.86,5200500
2026-03-30,6.87,7.0,6.78,7.0,7800375
2026-03-31,6.98,7.11,6.89,6.9,6497816
2026-04-01,7.0,7.06,6.83,6.9,6049516
2026-04-02,6.88,6.92,6.74,6.82,5853927
2026-04-03,6.81,6.84,6.55,6.57,4558000
2026-04-07,6.55,6.77,6.55,6.7,5024500
2026-04-08,6.87,6.93,6.8,6.91,5469142
2026-04-09,6.91,6.92,6.76,6.78,5866600
2026-04-10,6.8,6.94,6.8,6.86,4694900
2026-04-13,6.85,6.9,6.79,6.84,4025901
2026-04-14,6.9,6.9,6.75,6.84,4797900
2026-04-15,6.87,6.92,6.75,6.78,5984984
2026-04-16,6.82,6.93,6.75,6.89,7491294
2026-04-17,6.9,6.91,6.75,6.77,6328920
2026-04-20,6.75,6.77,6.65,6.73,6025700
2026-04-21,6.7,6.7,6.41,6.5,13473900
2026-04-22,6.48,6.49,6.34,6.49,8506884
2026-04-23,6.45,6.48,6.33,6.37,8405388
2026-04-24,6.35,6.4,6.22,6.35,6995688
2026-04-27,6.32,6.39,6.15,6.39,8129560
2026-04-28,6.33,6.39,6.24,6.3,6269000
2026-04-29,6.3,6.47,6.25,6.41,8259689
2026-04-30,6.39,6.46,6.34,6.41,6131500
2026-05-06,6.46,6.46,6.38,6.41,7137431
2026-05-07,6.41,6.56,6.38,6.39,8417900
2026-05-08,6.38,6.45,6.36,6.43,5671868
2026-05-11,6.44,6.47,6.32,6.36,7088400
2026-05-12,6.35,6.4,6.17,6.18,9660160
2026-05-13,6.18,6.21,6.14,6.17,7667716
2026-05-14,6.16,6.19,5.96,5.97,9122300
2026-05-15,5.93,6.0,5.88,5.91,6813697
2026-05-18,5.91,5.92,5.78,5.88,7726301
2026-05-19,5.89,5.99,5.81,5.91,5553258
2026-05-20,5.88,5.88,5.72,5.77,5337300
2026-05-21,5.81,5.86,5.58,5.6,6850300
2026-05-22,5.61,5.72,5.56,5.71,6396285
2026-05-25,5.7,5.78,5.62,5.65,5893948
2026-05-26,5.62,5.65,5.47,5.56,6230600
2026-05-27,5.53,5.54,5.36,5.4,6989812
2026-05-28,5.37,5.54,5.35,5.5,7108400
2026-05-29,5.53,5.54,5.37,5.41,6629400
2026-06-01,5.38,5.61,5.33,5.57,8419214
2026-06-02,5.57,5.57,5.37,5.47,7430618
2026-06-03,5.51,5.54,5.34,5.37,7476400
2026-06-04,5.35,5.39,5.21,5.25,6645832
2026-06-05,5.24,5.41,5.21,5.32,9213091
2026-06-08,5.28,5.31,5.0,5.05,9734500
2026-06-09,5.1,5.17,5.02,5.12,8567248
2026-06-10,5.12,5.14,4.99,5.05,6929628
2026-06-11,4.98,5.04,4.9,5.02,7259691
2026-06-12,5.06,5.21,5.0,5.14,9227100
2026-06-15,5.16,5.34,5.13,5.19,7892000
2026-06-16,5.16,5.35,5.02,5.27,11412088
2026-06-17,5.27,5.28,5.12,5.16,7610126
2026-06-18,5.16,5.23,5.01,5.15,6364200
2026-06-22,5.16,5.24,4.93,5.23,8783239
2026-06-23,5.2,5.42,5.13,5.29,10954186
2026-06-24,5.28,5.33,5.16,5.22,8187088
2026-06-25,5.23,5.26,5.04,5.12,7115658
2026-06-26,5.07,5.19,4.94,5.05,9545416
2026-06-29,5.09,5.56,4.87,5.56,21509291
2026-06-30,5.61,6.12,5.6,6.12,30500729
2026-07-01,6.06,6.29,5.92,6.08,28614500
2026-07-02,6.08,6.34,5.96,6.0,20442700
2026-07-03,6.02,6.25,6.0,6.09,15969750
2026-07-06,5.96,6.14,5.96,6.03,11971226
2026-07-07,6.01,6.1,5.77,6.03,14779901
2026-07-08,6.0,6.24,5.94,6.06,15439801
2026-07-09,6.01,6.67,5.92,6.55,39873571
2026-07-10,6.23,6.28,5.9,5.99,33190526
2026-07-13,5.76,5.98,5.66,5.69,22203875
2026-07-14,5.69,5.94,5.59,5.8,15728784
2026-07-15,5.75,6.05,5.72,5.89,14408592
2026-07-16,5.8,6.0,5.76,5.85,10825900
2026-07-17,5.8,5.89,5.46,5.48,14597200
2026-07-20,5.5,5.59,5.1,5.2,16334000
2026-07-21,5.2,5.25,4.89,5.1,16008698
2026-07-22,5.1,5.24,5.05,5.16,10558090
2026-07-23,5.12,5.68,5.11,5.68,10405590
2026-07-24,5.75,5.99,5.63,5.8,22883613
2026-07-27,5.95,5.95,5.68,5.89,12438800
2026-07-28,5.86,6.13,5.77,5.97,12820431
2026-07-29,5.95,6.02,5.89,5.99,9630200
2026-07-30,5.99,6.08,5.81,5.82,10074870
2026-07-31,5.94,6.14,5.83,6.06,11716721
2026-08-03,6.07,6.07,5.93,6.04,7232970
2026-08-04,6.09,6.14,6.02,6.07,7085601
2026-08-05,6.07,6.27,6.02,6.2,9504757
2026-08-06,6.29,6.38,6.07,6.17,10153556
2026-08-07,6.1,6.23,6.03,6.18,9397876
2026-08-10,6.16,6.3,6.11,6.3,8942300
2026-08-11,6.26,6.37,6.18,6.18,5861500
2026-08-12,6.19,6.21,6.1,6.17,5555376
2026-08-13,6.17,6.17,5.96,5.99,7844276
2026-08-14,5.96,6.0,5.89,6.0,6241657
2026-08-17,6.03,6.05,5.95,6.02,4229331
2026-08-18,6.08,6.1,5.94,6.03,5371800
2026-08-19,6.01,6.19,5.84,5.87,7237797
2026-08-20,5.91,6.46,5.91,6.46,10470621
2026-08-21,7.11,7.11,6.7,7.11,41570096
2026-08-24,7.82,7.82,7.82,7.82,8839002
2026-08-25,8.6,8.6,8.48,8.6,57855892
2026-08-26,8.84,9.46,8.49,9.46,106275699
2026-08-27,9.57,10.41,9.57,10.41,59572932
2026-08-28,11.18,11.45,10.68,11.45,110570517
2026-08-31,11.47,11.84,10.81,11.21,119757587
2026-09-01,10.91,11.75,10.89,11.75,124608080
2026-09-02,11.32,11.78,11.32,11.75,106791383
2026-09-03,10.58,10.58,10.58,10.58,3257700
2026-09-04,9.52,9.93,9.52,9.52,106266312
2026-09-07,9.0,9.18,8.86,8.99,91519114
2026-09-08,9.09,9.42,9.01,9.4,93032786
