date,open,high,low,close,volume,amount,pctChg
2026-01-05,1.575,1.604,1.572,1.603,8899800,14147234.6,1.6487
2026-01-06,1.603,1.615,1.597,1.615,12262300,19704891.5,0.7486
2026-01-07,1.615,1.642,1.604,1.629,13227900,21547815.2,0.8669
2026-01-08,1.631,1.647,1.623,1.631,9747500,15947224.1,0.1228
2026-01-09,1.639,1.689,1.628,1.679,13741212,22868245.112,2.943
2026-01-12,1.68,1.718,1.67,1.712,17288200,29127088.1,1.9655
2026-01-13,1.712,1.721,1.667,1.678,11401700,19275558.6,-1.986
2026-01-14,1.678,1.715,1.665,1.684,11726400,19877189.6,0.3576
2026-01-15,1.667,1.699,1.667,1.697,9613800,16194068.5,0.772
2026-01-16,1.712,1.743,1.708,1.731,10251200,17661277.7,2.0035
2026-01-19,1.731,1.761,1.724,1.758,16524200,28748322.9,1.5598
2026-01-20,1.759,1.768,1.7,1.715,13586900,23581955.2,-2.446
2026-01-21,1.713,1.768,1.708,1.768,15708800,27394569.4,3.0904
2026-01-22,1.765,1.789,1.762,1.773,14638600,25987313.3,0.2828
2026-01-23,1.781,1.8,1.768,1.8,13820600,24578937.1,1.5228
2026-01-26,1.8,1.819,1.774,1.782,15277000,27498633.0,-1.0
2026-01-27,1.765,1.815,1.751,1.805,16883200,30066527.3,1.2907
2026-01-28,1.805,1.805,1.757,1.782,15704500,27949421.0,-1.2742
2026-01-29,1.764,1.779,1.719,1.722,26070300,45880471.0,-3.367
2026-01-30,1.715,1.728,1.652,1.707,21102500,35695406.4,-0.8711
2026-02-02,1.685,1.718,1.663,1.665,14686600,24938682.1,-2.4605
2026-02-03,1.676,1.725,1.676,1.725,14959100,25448612.977,3.6036
2026-02-04,1.731,1.731,1.697,1.721,12179052,20819232.652,-0.2319
2026-02-05,1.713,1.713,1.671,1.678,15587700,26387596.2,-2.4985
2026-02-06,1.657,1.717,1.654,1.697,15060177,25383445.422,1.1323
2026-02-09,1.711,1.738,1.71,1.731,14018000,24156915.36,2.0035
2026-02-10,1.741,1.751,1.73,1.751,13610500,23709864.1,1.1554
2026-02-11,1.751,1.774,1.746,1.763,15618208,27563194.5,0.6853
2026-02-12,1.77,1.807,1.74,1.802,13812800,24670102.7,2.2121
2026-02-13,1.782,1.795,1.77,1.781,12321800,21986972.7,-1.1654
2026-02-24,1.813,1.824,1.801,1.82,24019297,43568579.243,2.1898
2026-02-25,1.818,1.878,1.817,1.878,20032500,36922004.7,3.1868
2026-02-26,1.884,1.927,1.879,1.918,20681677,39463978.086,2.1299
2026-02-27,1.896,1.951,1.895,1.95,22085700,42693121.6,1.6684
2026-03-02,1.937,1.982,1.928,1.967,15892900,31247924.4,0.8718
2026-03-03,1.96,1.978,1.884,1.888,20823304,40277099.625,-4.0163
