date,open,high,low,close,volume,amount
2026-08-24,0.419,0.425,0.418,0.421,871723000.0,368192900.0
2026-08-25,0.423,0.425,0.421,0.422,630879200.0,266284500.0
2026-08-26,0.419,0.425,0.417,0.423,678309900.0,286637800.0
2026-08-27,0.422,0.422,0.417,0.421,920630900.0,385686800.0
2026-08-28,0.42,0.424,0.418,0.423,938368500.0,395616500.0
2026-08-31,0.423,0.425,0.418,0.419,822323300.0,345684900.0
2026-09-01,0.419,0.433,0.418,0.429,1504751800.0,642131100.0
2026-09-02,0.427,0.429,0.422,0.423,861777800.0,366095500.0
2026-09-03,0.423,0.426,0.42,0.421,576916000.0,243705500.0
2026-09-04,0.422,0.438,0.421,0.434,2064745700.0,894334200.0
2026-09-07,0.433,0.435,0.429,0.433,908003100.0,391829400.0
2026-09-08,0.433,0.435,0.43,0.432,789705300.0,341118300.0
2026-09-09,0.431,0.431,0.425,0.426,1027725000.0,439092000.0
2026-09-10,0.426,0.427,0.418,0.418,976161300.0,409966200.0
2026-09-11,0.418,0.418,0.409,0.412,1031060700.0,424725400.0
2026-09-14,0.412,0.414,0.41,0.412,509173500.0,209674700.0
2026-09-15,0.413,0.413,0.409,0.41,500351500.0,205646100.0
2026-09-16,0.41,0.41,0.405,0.408,690178100.0,281182500.0
2026-09-17,0.408,0.409,0.405,0.408,726144200.0,295692200.0
2026-09-18,0.407,0.412,0.407,0.411,500756300.0,205420300.0
2026-09-21,0.411,0.417,0.409,0.416,871661900.0,360276400.0
