date,open,high,low,close,volume,amount,pctChg
2026-01-05,1.64,1.688,1.64,1.688,30242805,50530911.212,3.4948
2026-01-06,1.691,1.726,1.685,1.718,46482200,79571549.6,1.7773
2026-01-07,1.73,1.742,1.706,1.724,37647601,65083761.632,0.3492
2026-01-08,1.721,1.748,1.709,1.717,21579700,37352301.8,-0.406
2026-01-09,1.708,1.736,1.691,1.73,20709910,35523120.66,0.7571
2026-01-12,1.735,1.763,1.722,1.758,27569700,48051169.9,1.6185
2026-01-13,1.752,1.76,1.694,1.705,28550100,49560613.5,-3.0148
2026-01-14,1.715,1.754,1.707,1.725,37680400,65151283.2,1.173
2026-01-15,1.723,1.749,1.708,1.749,17265902,29831738.03,1.3913
2026-01-16,1.777,1.808,1.762,1.789,27254804,48506330.88,2.287
2026-01-19,1.785,1.801,1.774,1.776,25608500,45652939.1,-0.7267
2026-01-20,1.776,1.792,1.741,1.752,42363700,74581566.7,-1.3514
2026-01-21,1.739,1.817,1.739,1.808,22603900,40542770.8,3.1963
2026-01-22,1.834,1.847,1.789,1.808,22432200,40727840.6,0.0
2026-01-23,1.798,1.809,1.78,1.807,27531400,49455315.1,-0.0553
2026-01-26,1.805,1.818,1.762,1.772,24834600,44363908.1,-1.9369
2026-01-27,1.765,1.803,1.739,1.795,19967710,35294216.498,1.298
2026-01-28,1.803,1.826,1.784,1.801,26400300,47747446.2,0.3343
2026-01-29,1.794,1.802,1.738,1.738,22447207,39785355.243,-3.4981
2026-01-30,1.736,1.762,1.694,1.747,27788554,48169047.035,0.5178
2026-02-02,1.72,1.741,1.678,1.68,22131300,37982574.5,-3.8351
2026-02-03,1.693,1.716,1.665,1.706,35547000,60191750.0,1.5476
2026-02-04,1.687,1.687,1.654,1.681,22235300,37167352.4,-1.4654
2026-02-05,1.651,1.669,1.639,1.661,23825302,39399517.682,-1.1898
2026-02-06,1.643,1.675,1.631,1.655,20517900,33797363.7,-0.3612
2026-02-09,1.685,1.7,1.677,1.7,20522002,34651524.39,2.719
2026-02-10,1.701,1.725,1.7,1.708,21052301,36091535.41,0.4706
2026-02-11,1.7,1.708,1.685,1.688,23355000,39541176.4,-1.171
2026-02-12,1.699,1.716,1.687,1.714,19658100,33410494.9,1.5403
2026-02-13,1.701,1.729,1.696,1.712,19423700,33380634.3,-0.1167
2026-02-24,1.738,1.751,1.714,1.738,24520700,42506456.6,1.5187
2026-02-25,1.73,1.759,1.722,1.755,32719100,56984472.2,0.9781
2026-02-26,1.755,1.795,1.74,1.782,31529300,55727982.9,1.5385
2026-02-27,1.754,1.772,1.741,1.768,18144400,31846058.0,-0.7856
2026-03-02,1.738,1.766,1.734,1.747,58106500,101652529.4,-1.1878
2026-03-03,1.755,1.757,1.654,1.661,41670900,70942614.1,-4.9227
2026-03-04,1.637,1.689,1.631,1.653,37190505,61776387.355,-0.4816
2026-03-05,1.69,1.718,1.676,1.686,38070500,64604087.4,1.9964
2026-03-06,1.669,1.699,1.669,1.689,20907400,35135232.8,0.1779
2026-03-09,1.642,1.663,1.599,1.658,44189202,71698256.772,-1.8354
2026-03-10,1.684,1.708,1.675,1.707,32285396,54789634.996,2.9554
2026-03-11,1.709,1.721,1.692,1.698,25063300,42778628.3,-0.5272
2026-03-12,1.698,1.717,1.661,1.681,25861200,43699772.6,-1.0012
2026-03-13,1.669,1.691,1.663,1.669,24347703,40800542.431,-0.7139
2026-03-16,1.667,1.691,1.635,1.691,27073802,44810830.469,1.3182
2026-03-17,1.696,1.703,1.645,1.647,23455500,39372958.0,-2.602
2026-03-18,1.658,1.684,1.647,1.682,23549646,39162470.742,2.1251
2026-03-19,1.652,1.664,1.635,1.645,27732900,45745371.9,-2.1998
2026-03-20,1.655,1.666,1.616,1.617,22540903,37105274.254,-1.7021
2026-03-23,1.573,1.59,1.526,1.537,24044545,37620285.99,-4.9474
2026-03-24,1.562,1.564,1.511,1.564,28985400,44471310.5,1.7567
2026-03-25,1.574,1.619,1.573,1.604,24996500,39986121.6,2.5575
2026-03-26,1.595,1.597,1.56,1.568,18721100,29678892.0,-2.2444
2026-03-27,1.53,1.584,1.529,1.571,25563000,39780860.4,0.1913
2026-03-30,1.537,1.562,1.527,1.559,26530600,40975437.4,-0.7638
2026-03-31,1.546,1.564,1.523,1.525,25481200,39317359.5,-2.1809
2026-04-01,1.563,1.572,1.555,1.57,21675800,33861072.9,2.9508
2026-04-02,1.566,1.568,1.516,1.524,27451600,42260765.9,-2.9299
2026-04-03,1.538,1.544,1.522,1.526,22603256,34654417.67,0.1312
2026-04-07,1.528,1.556,1.528,1.542,27245508,42149281.728,1.0485
2026-04-08,1.587,1.645,1.586,1.645,22546504,36408630.12,6.6796
2026-04-09,1.624,1.663,1.619,1.649,37416600,61596893.8,0.2432
2026-04-10,1.674,1.706,1.67,1.689,28136000,47599791.3,2.4257
2026-04-13,1.675,1.724,1.675,1.707,43215600,73723317.8,1.0657
2026-04-14,1.732,1.757,1.724,1.751,38431000,67066455.0,2.5776
2026-04-15,1.761,1.765,1.723,1.731,36495501,63938425.555,-1.1422
2026-04-16,1.729,1.759,1.721,1.756,26010301,45211924.627,1.4443
2026-04-17,1.749,1.785,1.749,1.777,26599407,47087620.86,1.1959
2026-04-20,1.779,1.82,1.779,1.814,69229300,125421501.4,2.0822
2026-04-21,1.808,1.817,1.773,1.81,26387700,47319481.5,-0.2205
2026-04-22,1.805,1.872,1.795,1.87,44830800,82939628.1,3.3149
2026-04-23,1.884,1.89,1.83,1.85,77169702,143499001.55,-1.0695
2026-04-24,1.85,1.877,1.824,1.849,29537604,54654380.21,-0.0541
2026-04-27,1.872,1.93,1.872,1.918,48772202,93010644.227,3.7317
2026-04-28,1.914,1.935,1.883,1.896,38354601,73287598.598,-1.147
2026-04-29,1.873,1.902,1.848,1.9,28815907,54312761.358,0.211
2026-04-30,1.907,1.946,1.898,1.938,36610802,70487989.104,2.0
2026-05-06,1.998,2.065,1.991,2.028,34236701,69532055.53,4.644
2026-05-07,2.038,2.068,2.011,2.06,27202641,55353282.272,1.5779
2026-05-08,2.033,2.045,2.013,2.038,27055762,54926669.17,-1.068
2026-05-11,2.083,2.149,2.081,2.135,43118790,91046730.808,4.7596
2026-05-12,2.149,2.154,2.106,2.132,49283500,104934628.2,-0.1405
2026-05-13,2.089,2.21,2.089,2.21,38429561,82293516.21,3.6585
2026-05-14,2.222,2.232,2.139,2.139,38812301,84873142.877,-3.2127
2026-05-15,2.124,2.187,2.071,2.108,52004736,110662160.001,-1.4493
2026-05-18,2.096,2.18,2.096,2.155,26847645,57637709.553,2.2296
2026-05-19,2.127,2.21,2.08,2.21,37519500,80110176.3,2.5522
2026-05-20,2.181,2.245,2.181,2.245,37975230,84318227.687,1.5837
2026-05-21,2.283,2.32,2.169,2.182,33934489,77039746.556,-2.8062
2026-05-22,2.192,2.319,2.192,2.274,44783702,99976721.472,4.2163
2026-05-25,2.29,2.397,2.275,2.397,46205721,107527094.724,5.409
2026-05-26,2.374,2.392,2.318,2.381,38490900,90709809.5,-0.6675
2026-05-27,2.382,2.441,2.332,2.349,53167544,126873008.4,-1.344
2026-05-28,2.32,2.383,2.304,2.365,47241302,110759237.78,0.6811
2026-05-29,2.371,2.395,2.243,2.272,44383902,103133482.562,-3.9323
2026-06-01,2.256,2.288,2.164,2.168,60644506,134525189.588,-4.5775
2026-06-02,2.164,2.253,2.138,2.23,55106900,121162096.6,2.8598
2026-06-03,2.222,2.348,2.222,2.281,35159102,80610572.637,2.287
2026-06-04,2.237,2.343,2.233,2.32,38900078,89675507.716,1.7098
2026-06-05,2.276,2.308,2.21,2.224,45666300,103363975.6,-4.1379
2026-06-08,2.091,2.19,2.08,2.127,35625100,76263769.2,-4.3615
2026-06-09,2.174,2.241,2.147,2.238,41876751,91462584.106,5.2186
2026-06-10,2.205,2.257,2.155,2.182,48900500,107963767.0,-2.5022
2026-06-11,2.15,2.205,2.144,2.178,43196600,93823551.8,-0.1833
2026-06-12,2.244,2.26,2.16,2.173,31502300,69938663.0,-0.2296
2026-06-15,2.194,2.31,2.16,2.308,46255597,104453745.448,6.2126
2026-06-16,2.315,2.345,2.296,2.33,38374763,89074877.774,0.9532
2026-06-17,2.3,2.451,2.3,2.451,39401368,93788062.267,5.1931
2026-06-18,2.452,2.553,2.445,2.529,66696040,165815792.337,3.1824
2026-06-22,2.559,2.591,2.477,2.565,63528400,161128418.5,1.4235
2026-06-23,2.541,2.576,2.465,2.496,48551910,122178564.1,-2.6901
2026-06-24,2.454,2.616,2.451,2.616,66331100,168465620.9,4.8077
2026-06-25,2.649,2.739,2.634,2.73,55289304,148540926.664,4.3578
2026-06-26,2.684,2.732,2.609,2.662,63865895,171280880.615,-2.4908
2026-06-29,2.686,2.771,2.592,2.743,54527303,146827477.94,3.0428
2026-06-30,2.725,2.882,2.721,2.864,51621918,144948624.856,4.4112
2026-07-01,2.867,2.914,2.729,2.779,62335418,176632556.868,-2.9679
2026-07-02,2.64,2.711,2.55,2.561,51431626,135024384.474,-7.8445
2026-07-03,2.514,2.649,2.493,2.561,55767199,143268971.861,0.0
2026-07-06,2.599,2.61,2.452,2.537,71640152,181545068.493,-0.9371
2026-07-07,2.486,2.575,2.48,2.539,64331400,162861498.1,0.0788
2026-07-08,2.539,2.605,2.452,2.52,45522718,115052778.802,-0.7483
2026-07-09,2.554,2.733,2.527,2.726,67661900,176419849.5,8.1746
2026-07-10,2.731,2.8,2.58,2.584,68576000,185891333.6,-5.2091
2026-07-13,2.498,2.596,2.42,2.438,50097471,126886996.624,-5.6502
2026-07-14,2.43,2.525,2.356,2.522,60198831,147636059.196,3.4454
2026-07-15,2.534,2.535,2.389,2.394,40805200,100321170.0,-5.0753
2026-07-16,2.308,2.431,2.285,2.306,43100900,101444998.5,-3.6759
2026-07-17,2.259,2.29,2.114,2.131,42790603,94960392.71,-7.5889
2026-07-20,2.173,2.281,2.005,2.07,64936300,138687018.6,-2.8625
2026-07-21,2.078,2.277,1.981,2.277,57917500,122754686.147,10.0
2026-07-22,2.254,2.34,2.211,2.234,65644297,150326990.943,-1.8884
2026-07-23,2.238,2.269,2.157,2.18,39853297,88454413.125,-2.4172
2026-07-24,2.126,2.215,2.122,2.165,46752115,101749572.758,-0.6881
2026-07-27,2.145,2.221,2.1,2.219,70203179,152786199.6,2.4942
2026-07-28,2.169,2.188,2.045,2.059,43963300,93796039.6,-7.2105
2026-07-29,2.04,2.076,1.952,2.042,45654600,91681965.5,-0.8256
2026-07-30,2.002,2.023,1.877,1.904,50592900,99082030.0,-6.7581
2026-07-31,2.049,2.092,1.977,1.978,40167800,82164309.5,3.8866
2026-08-03,1.928,2.099,1.88,1.883,47945100,91801680.8,-4.8028
2026-08-04,1.909,2.008,1.897,1.992,48747182,95404522.09,5.7886
2026-08-05,2.0,2.127,1.872,2.096,38062000,78233252.8,5.2209
2026-08-06,2.076,2.16,2.041,2.129,44587100,93751345.2,1.5744
2026-08-07,2.124,2.205,2.113,2.193,40207900,86775026.2,3.0061
2026-08-10,2.193,2.203,2.125,2.173,65506500,141388719.2,-0.912
2026-08-11,2.142,2.203,2.131,2.15,32170300,69602609.1,-1.0584
2026-08-12,2.151,2.201,2.145,2.19,36806904,79985882.108,1.8605
2026-08-13,2.22,2.248,2.161,2.162,33542800,74696290.6,-1.2785
2026-08-14,2.218,2.218,2.136,2.176,30481700,66259074.0,0.6475
2026-08-17,2.173,2.27,2.173,2.27,65846900,146856749.7,4.3199
2026-08-18,2.269,2.278,2.208,2.252,56696600,127135299.1,-0.793
2026-08-19,2.188,2.196,2.065,2.081,54126242,116214997.54,-7.5933
2026-08-20,2.105,2.126,2.06,2.079,46592157,97590125.216,-0.0961
2026-08-21,2.073,2.123,2.063,2.1,40061988,83916512.656,1.0101
2026-08-24,2.102,2.106,1.993,2.034,72579415,149278310.123,-3.1429
2026-08-25,1.99,2.065,1.977,2.041,59443500,119613332.7,0.3441
2026-08-26,2.044,2.075,2.017,2.061,43843800,89691654.6,0.9799
2026-08-27,2.077,2.146,2.072,2.143,33589223,70765795.705,3.9787
2026-08-28,2.131,2.177,2.106,2.109,40813700,87525031.9,-1.5866
2026-08-31,2.051,2.152,2.051,2.151,53908703,113517899.046,1.9915
2026-09-01,2.146,2.146,2.083,2.089,46607205,98154442.18,-2.8824
2026-09-02,2.055,2.079,2.043,2.059,34593475,71245020.875,-1.4361
2026-09-03,2.079,2.084,2.029,2.051,47976300,98751981.5,-0.3885
2026-09-04,2.065,2.086,1.98,2.0,43813900,89402463.6,-2.4866
2026-09-07,2.03,2.082,2.019,2.07,64693300,132020786.0,3.5
2026-09-08,2.067,2.092,2.033,2.044,63064400,129901542.3,-1.256
2026-09-09,2.063,2.078,2.033,2.047,25189900,51877511.9,0.1468
2026-09-10,2.029,2.059,2.023,2.033,40533900,82591374.8,-0.6839
2026-09-11,2.004,2.029,1.964,2.023,37189100,74440134.4,-0.4919
2026-09-14,1.984,2.012,1.964,1.983,39802600,79240802.6,-1.9773
2026-09-15,1.97,2.034,1.969,1.997,50672500,101488683.0,0.706
2026-09-16,1.993,2.078,1.992,2.067,41218400,83988108.5,3.5053
2026-09-17,2.052,2.088,2.045,2.059,44060800,91012564.4,-0.387
