date,code,name,continue_cnt,limit_up_reason,seal_money
2022-12-16,002579,中京电子,2,"先进封装+印制电路板；1. 先进封装：公司在互动易平台表示，Chiplet技术将各异质小芯片借助先进封装方式实现系统芯片功能，预计将推动封装工艺与封装材料发展。公司己积极投资开展半导体先进封装IC载板业务。

2. 印制电路板：公司的主营业务是新型电子元器件（高密度印刷线路板等）的研发、生产和销售。公司主要产品有双面板、多层板、HDI板和铝基板等印刷线路板。",100414000.0
2023-01-10,002579,中京电子,1,"先进封装+印制电路板；1. 先进封装：公司在互动易平台表示，Chiplet技术将各异质小芯片借助先进封装方式实现系统芯片功能，预计将推动封装工艺与封装材料发展。公司己积极投资开展半导体先进封装IC载板业务。

2. 印制电路板：公司的主营业务是新型电子元器件（高密度印刷线路板等）的研发、生产和销售。公司主要产品有双面板、多层板、HDI板和铝基板等印刷线路板。",101599000.0
2023-02-01,002579,中京电子,1,芯片(先进封装)；公司在互动易平台表示，Chiplet技术将各异质小芯片借助先进封装方式实现系统芯片功能，预计将推动封装工艺与封装材料发展。公司己积极投资开展半导体先进封装IC载板业务。,73315500.0
2023-05-17,002579,中京电子,1,"先进封装+军工；1. 先进封装：公司在互动易平台表示，Chiplet技术将各异质小芯片借助先进封装方式实现系统芯片功能，预计将推动封装工艺与封装材料发展。公司己积极投资开展半导体先进封装IC载板业务。

2. 军工：全资子公司中京科技获得武器装备质量管理体系认证证书，表明中京科技产品质量管理体系已符合武器装备质量管理体系的国家军用标准，满足军用PCB的制造要求。",187969000.0
2023-06-13,002579,中京电子,1,芯片(存储芯片)；公司IC载板及PCB产品己用于存储芯片等封装及新能源相关领域。,29030600.0
2024-02-23,002579,中京电子,1,"光模块+印制电路板；1. 光模块：根据公司官网：珠海中京已突破25G到400G光模块关键技术瓶颈，已具备Core加Core高速混压、四面或三面包金（手指引线最大50μm）、分段金手指（手指分段间距最小100μm）、镍钯金（Bonding Pad最小70μm）等生产能力。实现各类型光模块产品的交付，产品已通过客户端认证。

2. 印制电路板：公司的主营业务为印制电路板(PCB)的研发、生产、销售与服务。公司主要产品有刚性电路板(RPCB)、高密度互联板(HDI)、柔性电路板(FPC)、刚柔结合板(R-F)和柔性电路板组件(FPCA)。",64854000.0
2024-03-05,002579,中京电子,1,"AI手机+存储芯片；1. AI手机：公司互动易2024年03月04日公司回答表示，尊敬的投资者，您好！智能手机是PCB的一个重要的应用场景，2024年为AI 手机的开发元年，高性能的ai手机产品预计将在未来逐步出现。公司产品可应用于AI手机类产品，目前正与相关客户积极推进项目的研发、测试、生产等。

2. 存储芯片：公司IC载板及PCB产品己用于存储芯片等封装及新能源相关领域。",44322900.0
2024-03-28,002579,中京电子,1,"AI手机+存储；1. AI手机：公司互动易2024年03月04日公司回答表示，尊敬的投资者，您好！智能手机是PCB的一个重要的应用场景，2024年为AI 手机的开发元年，高性能的ai手机产品预计将在未来逐步出现。公司产品可应用于AI手机类产品，目前正与相关客户积极推进项目的研发、测试、生产等。

2. 存储：公司IC载板及PCB产品己用于存储芯片等封装及新能源相关领域。",12712400.0
2024-06-06,002579,中京电子,1,"印制电路板+先进封装；1. 印制电路板：公司的主营业务为印制电路板(PCB)的研发、生产、销售与服务。公司主要产品有刚性电路板(RPCB)、高密度互联板(HDI)、柔性电路板(FPC)、刚柔结合板(R-F)和柔性电路板组件(FPCA)。

2. 先进封装：公司在互动易平台表示，Chiplet技术将各异质小芯片借助先进封装方式实现系统芯片功能，预计将推动封装工艺与封装材料发展。公司己积极投资开展半导体先进封装IC载板业务。",61280800.0
2024-08-29,002579,中京电子,1,"折叠屏+智能穿戴；1.  折叠屏：子公司元盛电子生产的FPC可应于可折叠屏，向京东方提供柔性折叠屏（OLED）配套FPC产品。

2. 智能穿戴：2021年互动平台表示，公司重视可穿戴智能终端的产品应用，并积极进行相关技术开发和产能布局，并坚持大客户，大市场，新技术跟踪开发策略。",54629300.0
