date,open,high,low,close,volume,amount,pctChg
2026-01-05,0.553,0.563,0.55,0.559,52377200,29194568.9,1.2681
2026-01-06,0.56,0.571,0.558,0.568,53550400,30256499.7,1.61
2026-01-07,0.566,0.569,0.558,0.56,79919700,44933352.5,-1.4085
2026-01-08,0.559,0.573,0.555,0.568,81385900,45876816.3,1.4286
2026-01-09,0.568,0.574,0.566,0.573,72995200,41596963.1,0.8803
2026-01-12,0.572,0.573,0.566,0.57,71760600,40786249.8,-0.5236
2026-01-13,0.57,0.571,0.562,0.564,67375900,38205011.4,-1.0526
2026-01-14,0.564,0.568,0.552,0.554,77346800,43368384.9,-1.773
2026-01-15,0.556,0.566,0.554,0.561,80727100,45204269.9,1.2635
2026-01-16,0.562,0.568,0.549,0.55,77260500,42954598.3,-1.9608
2026-01-19,0.547,0.561,0.547,0.558,56721900,31566406.4,1.4545
2026-01-20,0.557,0.577,0.556,0.574,115642300,65891666.1,2.8674
2026-01-21,0.571,0.578,0.569,0.573,82668700,47412374.9,-0.1742
2026-01-22,0.575,0.583,0.571,0.578,73755042,42553457.26,0.8726
2026-01-23,0.578,0.583,0.574,0.58,54482646,31478876.642,0.346
2026-01-26,0.575,0.581,0.57,0.571,79364550,45570982.1,-1.5517
2026-01-27,0.573,0.573,0.56,0.564,63925800,36076602.8,-1.2259
2026-01-28,0.568,0.58,0.567,0.579,82865800,47642826.297,2.6596
2026-01-29,0.578,0.608,0.573,0.607,165053989,98437497.3,4.8359
2026-01-30,0.601,0.602,0.581,0.583,107840500,63690263.7,-3.9539
2026-02-02,0.58,0.582,0.561,0.564,88412756,50612748.488,-3.259
2026-02-03,0.57,0.578,0.564,0.573,57883389,33007051.619,1.5957
2026-02-04,0.569,0.599,0.566,0.595,101377500,59307009.0,3.8394
2026-02-05,0.593,0.601,0.59,0.595,67002300,39902755.6,0.0
2026-02-06,0.592,0.593,0.584,0.585,49025400,28780615.1,-1.6807
2026-02-09,0.583,0.606,0.583,0.596,67557901,40316314.405,1.8803
2026-02-10,0.596,0.596,0.583,0.586,66990500,39264840.7,-1.6779
2026-02-11,0.584,0.588,0.58,0.585,53696200,31367953.0,-0.1706
2026-02-12,0.585,0.591,0.58,0.58,55162400,32226671.6,-0.8547
2026-02-13,0.58,0.586,0.577,0.579,39042800,22691929.1,-0.1724
2026-02-24,0.581,0.581,0.574,0.575,30992100,17886377.1,-0.6908
2026-02-25,0.577,0.596,0.576,0.59,85463000,50414008.4,2.6087
2026-02-26,0.592,0.592,0.568,0.573,74457300,42885609.7,-2.8814
2026-02-27,0.573,0.573,0.566,0.57,51433500,29273625.4,-0.5236
2026-03-02,0.566,0.569,0.558,0.564,148776100,83785089.0,-1.0526
2026-03-03,0.564,0.566,0.552,0.552,65120300,36317116.0,-2.1277
2026-03-04,0.55,0.554,0.54,0.546,53490500,29265830.0,-1.087
2026-03-05,0.547,0.552,0.541,0.544,40334800,22030052.6,-0.3663
2026-03-06,0.542,0.548,0.541,0.548,48410400,26364205.0,0.7353
2026-03-09,0.543,0.543,0.531,0.537,57940800,31009359.8,-2.0073
2026-03-10,0.538,0.541,0.535,0.539,36934100,19889867.1,0.3724
2026-03-11,0.54,0.544,0.537,0.541,52862600,28606855.5,0.3711
2026-03-12,0.538,0.544,0.536,0.54,27151400,14650677.7,-0.1848
2026-03-13,0.538,0.551,0.538,0.541,57207700,31226568.3,0.1852
2026-03-16,0.541,0.55,0.54,0.544,59351800,32317677.7,0.5545
2026-03-17,0.544,0.555,0.543,0.545,62570800,34390798.4,0.1838
2026-03-18,0.546,0.547,0.531,0.536,59759700,32065467.0,-1.6514
2026-03-19,0.533,0.533,0.519,0.521,59515200,31197700.8,-2.7985
2026-03-20,0.52,0.524,0.514,0.515,39081100,20286509.8,-1.1516
2026-03-23,0.51,0.511,0.487,0.489,68283800,33947084.0,-5.0485
2026-03-24,0.492,0.499,0.489,0.497,44553700,22023072.9,1.636
2026-03-25,0.497,0.504,0.497,0.503,44527200,22309453.7,1.2072
2026-03-26,0.502,0.505,0.492,0.495,36780300,18339438.0,-1.5905
2026-03-27,0.489,0.497,0.487,0.495,37224800,18358469.9,0.0
2026-03-30,0.491,0.497,0.485,0.493,53090600,26107216.4,-0.404
2026-03-31,0.494,0.501,0.489,0.49,54352000,26892051.5,-0.6085
2026-04-01,0.493,0.496,0.49,0.495,41294500,20382584.7,1.0204
2026-04-02,0.493,0.493,0.482,0.486,49128357,23863300.302,-1.8182
2026-04-03,0.485,0.486,0.472,0.473,46018600,21913543.6,-2.6749
2026-04-07,0.473,0.475,0.469,0.472,35242000,16618583.9,-0.2114
2026-04-08,0.478,0.489,0.476,0.489,65457800,31672778.3,3.6017
2026-04-09,0.486,0.486,0.477,0.48,51714900,24867914.7,-1.8405
2026-04-10,0.481,0.487,0.48,0.483,47545700,22998622.0,0.625
2026-04-13,0.481,0.487,0.478,0.486,44892500,21717788.2,0.6211
