date,open,high,low,close,volume
2026-02-25,20.82,20.9,20.63,20.7,4664900
2026-02-26,20.74,20.77,20.26,20.4,4935875
2026-02-27,20.27,20.59,20.23,20.56,3953206
2026-03-02,20.03,20.39,19.13,19.29,8719500
2026-03-03,19.25,19.45,18.51,18.54,7436579
2026-03-04,18.3,18.65,18.12,18.45,5041400
2026-03-05,18.89,19.02,18.57,18.65,4784100
2026-03-06,18.57,19.16,18.57,19.15,3869856
2026-03-09,18.77,19.44,18.57,19.38,4549699
2026-03-10,19.45,20.07,19.45,19.99,4749401
2026-03-11,19.97,20.19,19.67,19.75,4128500
2026-03-12,19.77,19.77,19.2,19.3,4016700
2026-03-13,19.3,19.55,19.13,19.17,3026800
2026-03-16,19.11,19.44,19.03,19.41,3014100
2026-03-17,19.44,19.44,18.78,18.79,3278000
2026-03-18,18.88,19.4,18.79,19.34,3255300
2026-03-19,19.16,19.29,18.72,18.88,2902700
2026-03-20,18.97,19.06,17.89,17.9,5580463
2026-03-23,17.53,17.63,16.3,16.57,6369161
2026-03-24,16.93,17.47,16.53,17.44,5914800
2026-03-25,17.5,17.85,17.44,17.7,4414800
2026-03-26,17.86,17.86,17.21,17.33,3490500
2026-03-27,17.21,17.67,17.13,17.66,3387600
2026-03-30,17.38,17.84,17.22,17.81,2984105
2026-03-31,17.81,18.09,17.49,17.49,2797000
2026-04-01,17.86,18.0,17.46,17.65,2434900
2026-04-02,17.65,17.66,17.01,17.16,2762311
2026-04-03,17.23,17.39,16.51,16.68,3333500
2026-04-07,16.54,17.2,16.54,17.08,2659500
2026-04-08,17.76,18.01,17.53,17.98,3859500
2026-04-09,17.94,18.01,17.39,17.47,3197500
2026-04-10,17.64,17.9,17.64,17.73,2281100
2026-04-13,17.63,17.87,17.54,17.79,2276500
2026-04-14,18.0,18.09,17.62,17.85,2791000
2026-04-15,17.89,17.92,17.43,17.51,2735800
2026-04-16,17.53,19.17,17.5,18.53,7940700
2026-04-17,18.52,18.64,17.95,18.07,6085263
2026-04-20,18.04,18.27,17.86,18.07,3138651
2026-04-21,18.15,18.15,17.74,17.85,3050500
2026-04-22,17.84,17.91,17.61,17.9,2510216
2026-04-23,17.93,17.95,17.56,17.64,2603700
2026-04-24,17.55,18.1,17.49,17.96,4292900
2026-04-27,18.8,19.59,17.96,19.46,13192775
2026-04-28,19.2,19.78,19.08,19.26,8249600
2026-04-29,19.08,19.92,19.08,19.56,6275600
2026-04-30,19.56,20.2,19.56,20.07,6746600
2026-05-06,20.2,20.49,19.99,20.16,7564200
2026-05-07,20.18,20.74,20.1,20.52,7081406
2026-05-08,20.48,20.87,20.36,20.77,5853200
2026-05-11,20.85,20.99,20.4,20.9,6200361
2026-05-12,20.81,20.94,20.51,20.54,4492146
2026-05-13,20.56,20.8,20.44,20.58,3726700
2026-05-14,20.69,20.9,20.16,20.18,4366204
2026-05-15,20.18,20.57,20.07,20.23,4466300
2026-05-18,20.21,22.26,20.21,21.96,15362200
2026-05-19,21.48,22.89,21.48,22.44,18468599
2026-05-20,22.15,22.34,21.4,21.48,10309099
2026-05-21,21.58,22.04,20.79,20.87,7918300
2026-05-22,20.89,21.21,20.51,21.04,6957800
2026-05-25,21.06,21.79,20.78,20.91,6308500
2026-05-26,20.75,21.18,20.25,20.55,6622200
2026-05-27,20.57,20.64,19.78,19.91,6777200
2026-05-28,19.88,20.32,19.5,20.15,6835000
2026-05-29,20.15,20.57,19.18,19.31,6323434
2026-06-01,19.31,20.1,19.01,19.63,5985931
2026-06-02,19.63,19.77,18.84,18.93,5596500
2026-06-03,18.89,19.02,18.35,18.57,5384900
2026-06-04,18.39,18.63,17.84,17.99,4949175
2026-06-05,18.04,18.8,17.63,18.48,6660201
2026-06-08,18.03,20.16,17.94,19.59,14616200
2026-06-09,19.66,20.83,19.61,20.46,13912500
2026-06-10,20.2,23.0,20.1,22.67,23253643
2026-06-11,21.99,22.18,20.64,20.91,19641499
2026-06-12,20.74,21.67,20.4,20.82,16393945
2026-06-15,20.58,20.98,19.79,20.01,15974574
2026-06-16,19.92,20.26,19.52,19.79,12404045
2026-06-17,19.6,20.04,19.37,19.48,9151100
2026-06-18,19.18,19.97,18.65,19.27,10483400
2026-06-22,19.11,20.48,18.96,20.17,18426161
2026-06-23,19.9,20.47,19.77,20.02,15330647
2026-06-24,19.7,19.91,18.76,19.07,13656200
2026-06-25,18.9,19.06,17.98,18.15,10701500
2026-06-26,18.01,18.48,17.51,17.75,11170100
2026-06-29,17.71,18.37,16.73,17.26,10538700
2026-06-30,17.1,17.68,16.98,17.37,7778845
