date,code,name,continue_cnt,limit_up_reason,seal_money
2023-06-07,601086,国芳集团,2,零售；公司从事以百货业为主，超市，电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。公司成立后，立足兰州，向甘肃省其它地区及青海，宁夏等周边省市辐射。截止至目前，公司已运营门店12家，面积合计28.63万平方米，其中：百货业态为主的门店6家，超市6家。不同业态组合，强化了业态间的协同效应，有利于满足顾客的购物需求。,5256220.0
2023-07-20,601086,国芳集团,1,零售；公司从事以百货业为主，超市，电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。公司成立后，立足兰州，向甘肃省其它地区及青海，宁夏等周边省市辐射。截止至目前，公司已运营门店12家，面积合计28.63万平方米，其中：百货业态为主的门店6家，超市6家。不同业态组合，强化了业态间的协同效应，有利于满足顾客的购物需求。,8327700.0
2023-07-26,601086,国芳集团,1,零售；公司从事以百货业为主，超市，电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。公司成立后，立足兰州，向甘肃省其它地区及青海，宁夏等周边省市辐射。,59406300.0
2023-07-27,601086,国芳集团,2,零售；公司从事以百货业为主，超市，电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。公司成立后，立足兰州，向甘肃省其它地区及青海，宁夏等周边省市辐射。,2659630.0
2023-07-28,601086,国芳集团,3,"零售+参股券商；1. 零售：公司从事以百货业为主，超市，电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。公司成立后，立足兰州，向甘肃省其它地区及青海，宁夏等周边省市辐射。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",39700400.0
2023-07-31,601086,国芳集团,4,"零售+参股券商；1. 零售：公司从事以百货业为主，超市，电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。公司成立后，立足兰州，向甘肃省其它地区及青海，宁夏等周边省市辐射。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",70770300.0
2023-09-01,601086,国芳集团,1,"零售+参股券商；1. 零售：公司从事以百货业为主，超市，电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。公司成立后，立足兰州，向甘肃省其它地区及青海，宁夏等周边省市辐射。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",7352960.0
2024-01-10,601086,国芳集团,1,"零售+参股券商；1. 零售：公司从事以百货业为主，超市，电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。公司成立后，立足兰州，向甘肃省其它地区及青海，宁夏等周边省市辐射。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",63743100.0
2024-01-11,601086,国芳集团,2,"零售+参股券商；1. 零售：公司从事以百货业为主，超市，电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。公司成立后，立足兰州，向甘肃省其它地区及青海，宁夏等周边省市辐射。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",73028000.0
2024-03-15,601086,国芳集团,1,"零售；近日「甘肃麻辣烫」的相关话题在各大社交平台登上热搜榜，在短视频平台点击播放量超10.5亿人。

零售：公司从事以百货业为主，超市，电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。公司成立后，立足兰州，向甘肃省其它地区及青海，宁夏等周边省市辐射。",96393300.0
2024-03-18,601086,国芳集团,2,"零售；近日「甘肃麻辣烫」的相关话题在各大社交平台登上热搜榜，在短视频平台点击播放量超10.5亿人。

零售：公司从事以百货业为主，超市，电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。公司成立后，立足兰州，向甘肃省其它地区及青海，宁夏等周边省市辐射。",7742470.0
2024-04-26,601086,国芳集团,1,西部大开发+零售；公司从事以百货业为主，超市，电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。公司成立后，立足兰州，向甘肃省其它地区及青海，宁夏等周边省市辐射。,7004430.0
2024-09-30,601086,国芳集团,1,,10706200.0
2024-10-10,601086,国芳集团,1,"参股券商+零售；1. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。

2. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。",41908900.0
2024-10-11,601086,国芳集团,2,"参股券商+零售；1. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。

2. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。",42933800.0
2024-11-07,601086,国芳集团,1,"零售+参股券商；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",47014800.0
2024-11-29,601086,国芳集团,1,"电子商务+零售；1. 电子商务：根据公司 2022 年报介绍：总店线上商城实现百货商品销售总额 8460 万元，同比增幅 42%，全年实现商品总交易订单8.34 万笔，线上招新同比提升 40%；兰州国芳百货抖音直播间粉丝突破 5.5万人，直播推广 80场次，公司各门店发动品牌协同推广，利用抖音、视频号直播累计 1547 场次。

2. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。",44710100.0
2024-12-02,601086,国芳集团,2,"电子商务+零售；1. 电子商务：根据公司 2022 年报介绍：总店线上商城实现百货商品销售总额 8460 万元，同比增幅 42%，全年实现商品总交易订单8.34 万笔，线上招新同比提升 40%；兰州国芳百货抖音直播间粉丝突破 5.5万人，直播推广 80场次，公司各门店发动品牌协同推广，利用抖音、视频号直播累计 1547 场次。

2. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。",20036100.0
2024-12-12,601086,国芳集团,1,"零售+电子商务；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 电子商务：根据公司 2022 年报介绍：总店线上商城实现百货商品销售总额 8460 万元，同比增幅 42%，全年实现商品总交易订单8.34 万笔，线上招新同比提升 40%；兰州国芳百货抖音直播间粉丝突破 5.5万人，直播推广 80场次，公司各门店发动品牌协同推广，利用抖音、视频号直播累计 1547 场次。",25264300.0
2024-12-19,601086,国芳集团,1,"零售+电子商务；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 电子商务：根据公司 2022 年报介绍：总店线上商城实现百货商品销售总额 8460 万元，同比增幅 42%，全年实现商品总交易订单8.34 万笔，线上招新同比提升 40%；兰州国芳百货抖音直播间粉丝突破 5.5万人，直播推广 80场次，公司各门店发动品牌协同推广，利用抖音、视频号直播累计 1547 场次。",45451400.0
2024-12-27,601086,国芳集团,1,"零售+电子商务；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 电子商务：根据公司 2022 年报介绍：总店线上商城实现百货商品销售总额 8460 万元，同比增幅 42%，全年实现商品总交易订单8.34 万笔，线上招新同比提升 40%；兰州国芳百货抖音直播间粉丝突破 5.5万人，直播推广 80场次，公司各门店发动品牌协同推广，利用抖音、视频号直播累计 1547 场次。",29515600.0
2025-04-03,601086,国芳集团,1,"零售+电子商务；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 电子商务：根据公司 2022 年报介绍：总店线上商城实现百货商品销售总额 8460 万元，同比增幅 42%，全年实现商品总交易订单8.34 万笔，线上招新同比提升 40%；兰州国芳百货抖音直播间粉丝突破 5.5万人，直播推广 80场次，公司各门店发动品牌协同推广，利用抖音、视频号直播累计 1547 场次。",59890100.0
2025-04-07,601086,国芳集团,2,"零售+参股券商；4月6日人民日报评论员文章，题目为《集中精力办好自己的事 增强有效应对美关税冲击的信心》。其中提到，将以超常规力度提振国内消费，加快落实既定政策，并适时出台一批储备政策。

1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",23351000.0
2025-04-08,601086,国芳集团,3,"零售+参股券商；4月6日人民日报评论员文章，题目为《集中精力办好自己的事 增强有效应对美关税冲击的信心》。其中提到，将以超常规力度提振国内消费，加快落实既定政策，并适时出台一批储备政策。

1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",252965000.0
2025-04-09,601086,国芳集团,4,"零售+参股券商；4月6日人民日报评论员文章，题目为《集中精力办好自己的事 增强有效应对美关税冲击的信心》。其中提到，将以超常规力度提振国内消费，加快落实既定政策，并适时出台一批储备政策。

1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",174536000.0
2025-04-10,601086,国芳集团,5,"零售+参股券商；4月6日人民日报评论员文章，题目为《集中精力办好自己的事 增强有效应对美关税冲击的信心》。其中提到，将以超常规力度提振国内消费，加快落实既定政策，并适时出台一批储备政策。

1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",173056000.0
2025-04-11,601086,国芳集团,6,"零售+参股券商；4月6日人民日报评论员文章，题目为《集中精力办好自己的事 增强有效应对美关税冲击的信心》。其中提到，将以超常规力度提振国内消费，加快落实既定政策，并适时出台一批储备政策。

1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",221261000.0
2025-04-14,601086,国芳集团,7,"零售+参股券商；4月6日人民日报评论员文章，题目为《集中精力办好自己的事 增强有效应对美关税冲击的信心》。其中提到，将以超常规力度提振国内消费，加快落实既定政策，并适时出台一批储备政策。

1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",74204700.0
2025-04-16,601086,国芳集团,8,"零售+参股券商；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",41169900.0
2025-04-17,601086,国芳集团,9,"零售+参股券商；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",36227600.0
2025-04-18,601086,国芳集团,10,"零售+参股券商；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",22695200.0
2025-04-21,601086,国芳集团,11,"零售+参股券商；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",108167000.0
2025-04-22,601086,国芳集团,12,"零售+参股券商；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",67588900.0
2025-04-24,601086,国芳集团,13,"零售+参股券商；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",13403600.0
2025-05-07,601086,国芳集团,1,"零售+参股券商；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",26857500.0
2025-05-14,601086,国芳集团,1,"零售+参股券商；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 参股券商：公司子公司兰州国芳持有国泰君安证券股份有限公司19,306,989 股股份，占注册资本的0.22%。",34955700.0
2025-05-28,601086,国芳集团,1,零售；公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。,173779000.0
2025-05-29,601086,国芳集团,2,"零售+谷子经济；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 谷子经济：根据2025年5月9日投资者活动记录表：目前我公司兰州国芳百货已引进X11、卡游、谷乐屋、叠个谷子、潮玩星球、JT、LIKEGOODS等头部二次元潮玩品牌及特色谷子专门店，精心打造沉浸式二次元文化主题街区。",52692300.0
2025-06-04,601086,国芳集团,1,"零售+谷子经济；1. 零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。

2. 谷子经济：根据2025年5月9日投资者活动记录表：目前我公司兰州国芳百货已引进X11、卡游、谷乐屋、叠个谷子、潮玩星球、JT、LIKEGOODS等头部二次元潮玩品牌及特色谷子专门店，精心打造沉浸式二次元文化主题街区。",49952900.0
2025-07-17,601086,国芳集团,1,"零售；7月16日全方位扩大国内需求调研协商座谈会在京召开，坚定实施扩大内需战略，加快培育完整内需体系。

零售：公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。",17168500.0
2025-09-04,601086,国芳集团,1,零售；公司从事以百货业为主，超市、电器为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。,66534600.0
2026-04-30,601086,国芳集团,1,一季报增长；4月29日晚公告，2026年1-3月归属上市公司股东的净利润：4158.27万元，同比上年增长：174.14%,56172400.0
2026-05-29,601086,国芳集团,1,零售；据2025年年报，公司从事以百货购物中心为主，超市为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业。公司营业收入主要来自于公司旗下各门店的商品销售收入以及功能商户的租金收入。截至报告期末，公司已运营门店11家，面积合计36.15万㎡，其中：百货业态为主的门店7家，超市4家。,128735000.0
2026-07-29,601086,国芳集团,1,零售；据2026年7月28日投资者关系活动记录表，公司立足门店定位，基于市场调研与空间规划，锁定客群需求的优质品牌，构建涵盖时尚餐饮、网红文化、圈层1社交、智能家居、文化潮玩等多元业态矩阵，升级场景体验，构建消费新范式。打破传统百货“重零售、轻体验”的运营模式，通过“首店经济+体验业态+主题空间”的组合策略，为消费者提供更加多元缤纷的消费体验，更好地满足消费者个性化、多层次、品质化的消费需求。,19464100.0
2026-08-28,601086,国芳集团,1,"中报增长+零售；1. 中报增长：8月25日晚公告，2026年1-6月归属上市公司股东的净利润：7113.36万元，同比上年增长：214.09%。

2. 零售：据2026年半年报，公司从事以百货购物中心为主、超市为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业；公司营业收入主要来自于公司旗下各门店的商品销售收入以及功能商户的租金收入，经营模式主要包括联营、经销、代销、租赁和餐饮服务，其中联营模式是公司最主要的经营模式。",66562400.0
2026-08-31,601086,国芳集团,2,"中报增长+零售；1. 中报增长：8月25日晚公告，2026年1-6月归属上市公司股东的净利润：7113.36万元，同比上年增长：214.09%。

2. 零售：据2026年半年报，公司从事以百货购物中心为主、超市为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业；公司营业收入主要来自于公司旗下各门店的商品销售收入以及功能商户的租金收入，经营模式主要包括联营、经销、代销、租赁和餐饮服务，其中联营模式是公司最主要的经营模式。",84343800.0
2026-09-01,601086,国芳集团,3,"零售+中报增长；1. 零售：据2026年半年报，公司从事以百货购物中心为主、超市为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业；公司营业收入主要来自于公司旗下各门店的商品销售收入以及功能商户的租金收入，经营模式主要包括联营、经销、代销、租赁和餐饮服务，其中联营模式是公司最主要的经营模式。

2. 中报增长：8月25日晚公告，2026年1-6月归属上市公司股东的净利润：7113.36万元，同比上年增长：214.09%。",195748000.0
