date,open,high,low,close,volume,amount
2026-08-24,1.682,1.683,1.63,1.656,300151200.0,495816600.00000006
2026-08-25,1.639,1.688,1.62,1.671,330282600.0,547675100.0
2026-08-26,1.677,1.694,1.667,1.683,238724000.0,401587100.0
2026-08-27,1.678,1.697,1.658,1.694,560520600.0,939103800.0
2026-08-28,1.684,1.699,1.675,1.678,356447600.0,600798800.0
2026-08-31,1.657,1.672,1.645,1.67,282462500.0,468463000.0
2026-09-01,1.669,1.673,1.648,1.655,217182800.0,360468700.0
2026-09-02,1.639,1.658,1.624,1.644,221061300.0,363543300.0
2026-09-03,1.654,1.66,1.637,1.651,283340200.0,466974100.00000006
2026-09-04,1.658,1.679,1.635,1.643,247766600.0,411417400.0
2026-09-07,1.655,1.661,1.637,1.654,179429400.0,296129100.0
2026-09-08,1.654,1.662,1.636,1.645,208698500.0,344422400.0
2026-09-09,1.647,1.676,1.647,1.676,321234300.0,535562200.0
2026-09-10,1.667,1.667,1.64,1.645,211905200.0,349358700.0
2026-09-11,1.629,1.644,1.607,1.639,268380900.0,436184500.0
2026-09-14,1.628,1.647,1.62,1.628,125542800.0,205028800.0
2026-09-15,1.622,1.645,1.615,1.622,191376800.0,311741900.0
2026-09-16,1.619,1.652,1.609,1.642,268852600.0,439134300.0
2026-09-17,1.638,1.66,1.634,1.644,209783000.0,345263900.0
2026-09-18,1.659,1.668,1.646,1.665,244784800.0,405947500.0
2026-09-21,1.674,1.695,1.669,1.69,236106600.0,397971400.0
