date,code,name,continue_cnt,limit_up_reason,seal_money
2022-06-16,000017,深中华A,2,"粤港澳+黄金；1. 粤港澳：公司地处深圳，主营电动自行车、自行车及零配件的生产和销售以及物业管理。

2. 黄金：公司新增开展珠宝黄金供应链业务，拓展业务维度，于2019年8月与深圳钻金森珠宝有限公司共同出资650万元设立深圳鑫森珠宝黄金供应链有限公司，其中公司持股65%，为深圳鑫森珠宝黄金供应链有限公司的控股股东，钻金森珠宝持股35%。",15227800.0
2022-06-17,000017,深中华A,3,"锂电池+粤港澳；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 粤港澳：公司地处深圳，主营电动自行车、自行车及零配件的生产和销售以及物业管理。",67605200.0
2022-06-20,000017,深中华A,4,"锂电池+粤港澳；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 粤港澳：公司地处深圳，主营电动自行车、自行车及零配件的生产和销售以及物业管理。",51665200.0
2022-06-22,000017,深中华A,5,"锂电池+粤港澳；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 粤港澳：公司地处深圳，主营电动自行车、自行车及零配件的生产和销售以及物业管理。",20858200.0
2022-06-23,000017,深中华A,6,"深圳+锂电池；1. 深圳：深圳中华自行车(集团)股份有限公司主营业务为自行车及锂电池材料业务、珠宝黄金业务。

2. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。",24669200.0
2022-08-09,000017,深中华A,1,锂电池；公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。,63355400.0
2022-09-22,000017,深中华A,1,黄金；公司新增开展珠宝黄金供应链业务，拓展业务维度，于2019年8月与深圳钻金森珠宝有限公司共同出资650万元设立深圳鑫森珠宝黄金供应链有限公司，其中公司持股65%，为深圳鑫森珠宝黄金供应链有限公司的控股股东，钻金森珠宝持股35%。,39746900.0
2022-10-12,000017,深中华A,1,"两轮车+黄金；1. 两轮车：公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等；19年自行车及零配件销售收入0.47亿元。

2. 黄金：公司新增开展珠宝黄金供应链业务，拓展业务维度，于2019年8月与深圳钻金森珠宝有限公司共同出资650万元设立深圳鑫森珠宝黄金供应链有限公司，其中公司持股65%，为深圳鑫森珠宝黄金供应链有限公司的控股股东，钻金森珠宝持股35%。",52059100.0
2022-11-29,000017,深中华A,1,股权转让；11月28日晚公告，截至本公告日，万胜实业持有公司20%的股权，同时决定了公司董事会半数以上的董事席位，万胜实业据此能对公司股东大会、董事会决议产生重大影响。因此，公司由无控股股东和实际控制人变更为有控股股东和实际控制人，公司控股股东变更为万胜实业，公司实际控制人变更为王胜洪。,41031700.0
2022-12-07,000017,深中华A,1,锂电池；公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。,17572500.0
2022-12-08,000017,深中华A,2,"锂电池+两轮车；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 两轮车：公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等。",36192800.0
2023-02-13,000017,深中华A,1,"锂电池+两轮车；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 两轮车：公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等。",46847000.0
2024-01-09,000017,深中华A,1,"锂电池+两轮车；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 两轮车：公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等。",23367000.0
2024-01-10,000017,深中华A,2,"锂电池+两轮车；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 两轮车：公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等。",86225100.0
2024-01-11,000017,深中华A,3,"锂电池+两轮车；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 两轮车：公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等。",89903900.0
2024-01-12,000017,深中华A,4,"锂电池+两轮车；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 两轮车：公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等。",160485000.0
2024-01-15,000017,深中华A,5,"锂电池+深圳；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 两轮车：公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等。",137982000.0
2024-01-16,000017,深中华A,6,"锂电池+深圳；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 两轮车：公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等。",157722000.0
2024-01-17,000017,深中华A,7,"锂电池+黄金；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 黄金：公司新增开展珠宝黄金供应链业务，拓展业务维度，于2019年8月与深圳钻金森珠宝有限公司共同出资650万元设立深圳鑫森珠宝黄金供应链有限公司，其中公司持股65%，为深圳鑫森珠宝黄金供应链有限公司的控股股东，钻金森珠宝持股35%。",95879000.0
2024-01-18,000017,深中华A,8,"锂电池+黄金；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 黄金：公司新增开展珠宝黄金供应链业务，拓展业务维度，于2019年8月与深圳钻金森珠宝有限公司共同出资650万元设立深圳鑫森珠宝黄金供应链有限公司，其中公司持股65%，为深圳鑫森珠宝黄金供应链有限公司的控股股东，钻金森珠宝持股35%。",47326600.0
2024-01-19,000017,深中华A,9,深圳+黄金；深圳中华自行车(集团)股份有限公司主营业务为自行车及锂电池材料业务、珠宝黄金业务。,64654600.0
2024-01-23,000017,深中华A,11,"锂电池+两轮车；1. 锂电池：公司钾电池材料业务主要涉及碳酸钾，锰酸钾，镍钻锰酸钾，电解液等

2. 两轮车：公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等",100938000.0
2024-01-25,000017,深中华A,12,深圳+两轮车；公司地处深圳。公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等,71561500.0
2024-02-05,000017,深中华A,1,深圳+两轮车；公司地处深圳。公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等,79865200.0
2024-02-20,000017,深中华A,1,深圳+两轮车；公司地处深圳。公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等,85229000.0
2024-02-21,000017,深中华A,2,"锂电池+深圳；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 深圳：公司地处深圳。公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等",64976600.0
2024-02-26,000017,深中华A,1,"锂电池+深圳；1. 锂电池：公司目前从事的锂电池材料业务主要涉及碳酸锂，锰酸锂，镍钴锰酸锂，电解液，原锂电池等。

2. 深圳：公司地处深圳。公司主营自行车业务以及锂电池材料业务，自行车业务包括生产、装配、采购、销售自行车及电动自行车等",72106000.0
