run_time,ref_date,code,name,max_boards,limit_up_count,consecutive_2plus_count,consecutive_3plus_count,latest_limit_up_date,avg_amplitude,high_volatility,has_gene,just_starting,gene_score,gene_level,gene_reason,data_sufficient
2026-09-08 18:30:32,2026-09-07,000017,深中华A,7,16,10,7,2026-08-28,3.99,False,False,True,78,🔥 妖股基因强（历史高频连板+高波动）,日振幅4.0%<5.0%,True
2026-09-08 18:55:43,2026-09-07,2579,中京电子,5,16,7,3,2026-09-08,6.66,True,True,True,84,🔥 妖股基因强（历史高频连板+高波动）,最高5连板·近365日2连板+7次·日振幅6.7%·近期涨停（2026-09-08）未过热,True
2026-09-08 18:58:10,2026-09-07,301526,国际复材,2,5,1,0,2026-07-27,9.23,True,True,False,48,❄️ 妖股基因弱（连板特征不明显）,最高2连板·近365日2连板+1次·日振幅9.2%·当前形态未启动或已过热,True
2026-09-08 19:34:23,2026-09-07,601086,国芳集团,6,9,5,4,2026-09-07,4.0,False,False,False,70,🔥 妖股基因强（历史高频连板+高波动）,日振幅4.0%<5.0%,True
