date,up_count,down_count,flat_count,ad_ratio
2026-08-19,420,4760,24,0.088235294117647
2026-08-20,3915,1204,85,3.2516611295681064
2026-08-21,2407,2627,171,0.9162542824514656
2026-08-27,3191,1821,197,1.7523338824821526
2026-08-28,2796,2270,142,1.2317180616740089
